,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.9,99.95,4.999999999999716,99.925,99.77,99.6,99.97,99.95,99.86,99.87,99.87,99.95,99.95,99.86,Avg,1738724.2,80,1741,14.5,2030-12-13,,,,,,2.05,,,2022-04-01,13.765835663642,13.570759509874,13.327493898547,13.327493898547,13.327493898547,85.000000005695,0.20469828308816,640.30721009034,,
1,2021-12-29,Moscow Exchange T+,99.55,99.79,24.00000000000091,99.67,99.67,99.5,99.96,99.79,99.66,99.67,99.67,99.58,99.58,99.66,Avg,1695333.0,93,1701,14.5,2030-12-13,,,,,,1.71,,,2022-04-01,14.729726066827,15.267814236722,14.097799109746,14.097799109746,15.120754229611,86.000000009427,0.20536651350911,723.72480964956,,
2,2021-12-28,Moscow Exchange T+,99.52,99.86,34.00000000000034,99.69,99.98,99.0,99.98,99.86,99.73,99.71,99.71,99.82,99.82,99.73,Avg,1721987.1,120,1727,14.5,2030-12-13,,,,,,1.37,,,2022-04-01,14.375524789195,15.390090372142,13.752993844242,13.752993844242,13.944093928686,87.00000000804,0.20839787607086,694.81546857693,,
3,2021-12-27,Moscow Exchange T+,99.45,99.56,10.999999999999943,99.505,99.51,98.7,99.97,99.56,99.59,99.59,99.59,99.56,99.56,99.59,Avg,1695049.2,112,1702,14.5,2030-12-13,,,,,,1.03,,,2022-04-01,15.030089601824,15.702534106037,15.173775676723,15.173775676723,15.173775676723,88.000000011244,0.20959376044678,765.45737004349,,
4,2021-12-24,Moscow Exchange T+,99.43,99.51,7.999999999999829,99.47,99.6,99.4,99.6,99.51,99.49,99.48,,99.51,99.51,99.49,Avg,490467.9,58,493,14.5,2030-12-13,,,,,,,,,2022-04-01,15.440274208839,15.719938581275,15.347240429187,15.347240429187,15.347240429187,91.000000014258,0.21596888108667,814.45229627216,,
5,2021-12-23,Moscow Exchange T+,99.4,99.44,3.999999999999204,99.42,99.68,99.35,99.68,99.44,99.51,99.51,99.51,99.44,99.44,99.51,Avg,779159.1,61,783,14.5,2030-12-13,,,,,,29.59,,,2022-01-10,541.22840035658,849.01254362814,722.88333637659,722.88333637659,722.88333637659,1.0000000000582,0.00042726211534506,53430.10552064,,
6,2021-12-22,Moscow Exchange T+,99.21,99.59,38.000000000000966,99.4,99.59,99.09,99.59,99.59,99.36,99.33,,99.57,99.57,99.36,Avg,396427.0,41,399,14.5,2030-12-13,,,,,,29.26,,,2022-01-10,250.89856270486,358.6675015798,132.89527077123,132.89527077123,141.33753607795,2.0000000000001,0.0015615487315072,24379.472951724,,
7,2021-12-21,Moscow Exchange T+,99.02,99.27,25.0,99.145,98.5,98.4,100.0,99.28,99.18,99.18,99.18,99.28,99.28,99.18,Avg,1089943.5,61,1099,14.5,2030-12-13,,,,,,28.93,,,2022-01-10,197.5782592838,260.15700362852,167.32050928761998,164.15600514644998,164.15600514644998,3.0,0.0027620223674852,19032.108797526,,
8,2021-12-20,Moscow Exchange T+,98.6,98.74,14.000000000000057,98.67,98.64,98.4,98.79,98.74,98.66,98.66,98.66,98.72,98.72,98.66,Avg,1159253.8,88,1175,14.5,2030-12-13,,,,,,28.6,,,2022-01-13,271.94977146756,292.56613716564004,246.15274117088,246.15274117088,252.42734683732,4.0000000000009,0.0029463397883946,26477.786820528,,
9,2021-12-17,Moscow Exchange T+,98.35,98.37,2.000000000001023,98.36,98.66,98.02,98.66,98.37,98.64,97.96,,98.37,98.37,98.64,Avg,366998.6,68,373,14.5,2030-12-13,,,,,,27.62,,,2022-01-13,125.07525921858,161.32688958702,158.64571073292,158.64571073292,158.64571073292,7.0000000029904,0.0085207420249373,11793.393109338,,
10,2021-12-16,Moscow Exchange T+,97.54,98.42,87.99999999999955,97.98,98.77,97.39,98.77,98.43,97.85,97.85,97.85,97.95,97.95,97.85,Avg,1618418.3,158,1654,14.5,2030-12-13,,,,,,27.29,,,2022-01-13,194.96001081636,239.57004349578003,127.92218347519,126.89646736067,181.88522210869,8.0,0.0074307727879844,18752.6795499,,
11,2021-12-15,Moscow Exchange T+,98.08,98.27,18.999999999999773,98.175,98.79,98.08,98.79,98.27,98.3,98.19,,98.27,98.27,98.3,Avg,120913.6,32,123,14.5,2030-12-13,,,,,,26.96,,,2022-01-13,121.1538788956,141.60337891615998,123.83456089551,123.83456089551,123.83456089551,9.0000000037603,0.011149492100257,11371.40625152,,
