,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,94.3,94.49,18.999999999999773,94.395,96.48,94.49,96.48,94.49,95.02,95.02,95.02,94.49,94.49,95.02,Avg,1278921.4,29.0,1346.0,10,2023-12-25,13.516358301689,13.991597325013998,13.865622958922,13.865622958922,13.865622958922,0.82,664.09573221525,1.6028001509686,,,,,,,,,517.76329735753,,
1,2021-12-29,Moscow Exchange T+,94.05,94.49,43.99999999999977,94.27,96.6,94.5,97.99,94.5,94.61,94.61,94.61,94.5,94.5,94.61,Avg,3401997.5,26.0,3596.0,10,2023-12-25,13.781980664996,14.153216969994,13.861234192595,13.854623568197,13.854623568197,0.55,664.93852598374,1.6010877782314,,,,,,,,,536.16569783178,,
2,2021-12-28,Moscow Exchange T+,95.92,95.95,3.0000000000001137,95.935,98.09,95.92,98.09,95.95,95.99,96.0,,95.95,95.95,95.99,Avg,496282.0,32.0,517.0,10,2023-12-25,12.879507108735,12.924602216503,12.905269287836,12.905269287836,12.905269287836,0.27,666.47249700591,1.6176116403774,,,,,,,,,450.74351646159,,
3,2021-12-27,Moscow Exchange T+,96.57,96.74,17.00000000000017,96.655,96.76,96.5,96.78,96.58,96.56,95.88,,96.58,96.58,96.56,Avg,127459.0,17.0,132.0,10,2023-12-25,12.511582037988,12.505212881455,12.397098539101,12.498844780832,12.498844780832,,667.69006602578,1.6258662610466,,,,,,,,,412.20735374235,,
4,2021-12-24,Moscow Exchange T+,95.15,95.86,70.99999999999937,95.505,95.2,94.97,95.55,95.49,95.11,95.35,,95.49,95.49,95.11,Avg,149318.4,14.0,157.0,10,2023-12-25,13.433984289296,13.407990646035,12.949494383959,13.18774849107,13.18774849107,24.11,653.10743903161,1.5774244910928,,,,,,,,,509.56640528705,,
5,2021-12-23,Moscow Exchange T+,94.17,97.79,362.00000000000045,95.98,94.49,94.49,97.98,97.98,96.92,95.02,,97.38,97.38,96.92,Avg,121155.1,13.0,125.0,10,2023-12-25,12.272159672074,14.044782638541,11.728012574427,11.610203863284,11.983481816852,23.84,655.08713024275,1.5985790833464,,,,,,,,,392.56092478763,,
6,2021-12-22,Moscow Exchange T+,93.1,94.53,143.00000000000068,93.815,98.05,93.68,98.05,93.68,94.54,94.38,,93.68,93.68,94.54,Avg,23635.3,4.0,25.0,10,2023-12-25,13.797348200595,14.751685150133,13.803895268095,14.364477063583,14.364477063583,23.56,654.80061204266,1.576464045899,,,,,,,,,543.12133644763,,
7,2021-12-21,Moscow Exchange T+,93.71,96.99,328.0000000000001,95.35,97.97,94.55,97.97,94.85,95.39,94.32,,94.84,94.84,95.39,Avg,31479.7,4.0,33.0,10,2023-12-25,13.240801049773,14.339066819139,12.223195419286,13.59042209869,13.596926558273,23.29,656.27048226228,1.5877681053106,,,,,,,,,475.48342352907,,
8,2021-12-20,Moscow Exchange T+,94.55,94.85,29.999999999999716,94.7,94.7,94.1,95.01,95.0,94.57,94.25,,94.9,94.9,94.57,Avg,261022.0,12.0,276.0,10,2023-12-25,13.768883431245,13.781938420673,13.586575671303,13.489264140251,13.554111187429,23.01,656.8246551348,1.5817326749072,,,,,,,,,520.61630187967,,
9,2021-12-17,Moscow Exchange T+,91.36,94.39,303.0000000000001,92.875,93.97,91.03,94.79,94.0,93.94,93.97,,94.0,94.0,93.94,Avg,264908.6,15.0,282.0,10,2023-12-25,14.167228099349,15.900664230643,13.872655158945,14.127821650679,14.127821650679,22.19,659.48807738955,1.5826053417098,,,,,,,,,550.58272339599,,
10,2021-12-16,Moscow Exchange T+,90.3,93.98,368.0000000000007,92.14,93.99,93.99,93.99,93.99,93.99,94.0,93.97,93.99,93.99,93.99,Avg,471829.8,4.0,502.0,10,2023-12-25,14.129244542597,16.62732682292,14.135802170774,14.129244542597,14.129244542597,21.92,660.52018157596,1.5856096658989,,,,,,,,,541.51630098707,,
11,2021-12-15,Moscow Exchange T+,90.2,93.99,378.9999999999992,92.095,94.21,93.99,94.21,93.99,94.09,94.62,,93.99,93.99,94.09,Avg,62099.4,5.0,66.0,10,2023-12-25,14.059345935924,16.689543417298,14.124778126689,14.124778126689,14.124778126689,21.64,661.57925509521,1.5891252834193,,,,,,,,,531.47013691577,,
