,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.06,98.66,59.99999999999943,98.36,98.48,98.09,98.95,98.09,98.59,98.45,,98.21,98.21,98.59,Avg,356899.6,53,362,11.5,2023-12-26,12.889419787364002,13.227190509455,12.845027792129,13.207992710938,13.131296282547,0.63,658.2338681845,1.5974751789638,,,,,,,,,455.21800559409,,
1,2021-12-29,Moscow Exchange T+,98.33,98.34,1.0000000000005116,98.335,98.95,98.0,99.0,98.34,98.6,98.6,98.6,98.34,98.34,98.6,Avg,793741.0,67,805,11.5,2023-12-26,12.881965199909,13.053432816071,13.047068608175,13.047068608175,13.047068608175,0.32,659.23871526809,1.6000195100159,,,,,,,,,446.3222603405,,
2,2021-12-28,Moscow Exchange T+,98.44,98.95,51.00000000000051,98.695,98.51,98.06,98.98,98.97,98.57,98.57,98.57,98.97,98.97,98.57,Avg,667310.8,88,677,11.5,2023-12-26,12.900489649756,12.982895270293,12.660614315954,12.648030490041002,12.648030490041002,,660.22667035742,1.6021544267625,,,,,,,,,453.03280404596,,
3,2021-12-27,Moscow Exchange T+,97.85,98.18,33.00000000000125,98.015,97.96,97.65,98.49,98.0,98.27,98.27,98.27,98.02,98.02,98.27,Avg,683944.0,75,696,11.5,2023-12-26,13.088963111606,13.356809671088,13.146203091287,13.26093750543,13.24817244505,28.36,642.39225936658,1.556278123311,,,,,,,,,470.96815741716,,
4,2021-12-24,Moscow Exchange T+,97.31,97.82,50.99999999999909,97.565,97.54,97.33,97.81,97.33,97.61,97.54,,97.49,97.49,97.61,Avg,273319.3,23,280,11.5,2023-12-26,13.504574296522,13.697068652957,13.370394942487,13.684205932428,13.58145740443,27.41,645.00869885151,1.5568950688494,,,,,,,,,516.92532657369,,
5,2021-12-23,Moscow Exchange T+,97.48,97.54,6.000000000000227,97.51,97.09,97.01,97.66,97.54,97.29,97.2,,97.54,97.54,97.29,Avg,98263.3,26,101,11.5,2023-12-26,13.707233316344,13.585323415773,13.546905100100002,13.546905100100002,13.546905100100002,27.1,645.82158686586,1.5560788517902,,,,,,,,,536.60676147983,,
6,2021-12-22,Moscow Exchange T+,97.65,97.78,12.999999999999543,97.715,97.5,97.5,97.78,97.78,97.73,97.05,,97.78,97.78,97.73,Avg,40068.6,12,41,11.5,2023-12-26,13.423803122945,13.474811920043,13.391956774517,13.391956774517,13.391956774517,26.78,647.08325881907,1.563014814587,,,,,,,,,506.32333023785,,
7,2021-12-21,Moscow Exchange T+,97.5,97.78,28.000000000000114,97.64,96.71,96.6,97.78,97.78,97.09,96.96,,97.78,97.78,97.09,Avg,411677.1,22,424,11.5,2023-12-26,13.830932069163,13.568130736412002,13.389677326665,13.389677326665,13.389677326665,26.47,647.70735164973,1.5589266091339,,,,,,,,,535.08814033379,,
8,2021-12-20,Moscow Exchange T+,96.6,96.65,5.000000000001137,96.625,96.4,96.01,96.72,96.65,96.31,96.52,,96.65,96.65,96.31,Avg,120386.3,26,125,11.5,2023-12-26,14.333057625805,14.144793921652,14.112426659646,14.112426659646,14.112426659646,26.15,648.24343998121,1.5533647586149,,,,,,,,,577.61048190806,,
9,2021-12-17,Moscow Exchange T+,96.22,96.4,18.000000000000682,96.31,97.12,96.22,97.12,96.22,96.4,96.64,,96.22,96.22,96.4,Avg,245829.2,28,255,11.5,2023-12-26,14.265125273512,14.381821926374,14.265125273512,14.381821926374,14.381821926374,25.21,651.30622116381,1.5616318641904,,,,,,,,,560.83754262333,,
