,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.3,96.5,20.000000000000284,96.4,96.55,96.45,96.55,96.5,96.51,96.52,,96.5,96.5,96.51,Avg,412081.2,25,427,10,2024-02-06,12.435408421376,12.563023343508,12.44147538452,12.44147538452,12.44147538452,13.97,690.94959967198,1.6836445283736,,,,,,,,,409.0288633913,,
1,2021-12-29,Moscow Exchange T+,96.35,96.53,18.000000000000682,96.44,96.21,96.2,96.54,96.53,96.5,96.42,,96.53,96.53,96.5,Avg,324225.5,26,336,10,2024-02-06,12.438780871816,12.529795413061,12.420604737834,12.420604737834,12.420604737834,13.7,691.94675807762,1.6860237437469,,,,,,,,,401.15447823797,,
2,2021-12-28,Moscow Exchange T+,96.22,96.3,7.999999999999829,96.26,96.35,96.0,96.35,96.3,96.26,96.26,96.26,96.3,96.3,96.26,Avg,562174.1,35,584,10,2024-02-06,12.582262833104,12.606578285731,12.557963309324,12.557963309324,12.557963309324,13.42,692.82584512368,1.6860142553297,,,,,,,,,420.27100983771,,
3,2021-12-27,Moscow Exchange T+,96.06,96.36,29.999999999999716,96.21,96.04,95.58,96.38,96.36,95.86,95.91,,96.36,96.36,95.86,Avg,391097.3,30,408,10,2024-02-06,12.823001440284,12.701010130191,12.518772089517,12.518772089517,12.518772089517,13.15,693.62290158956,1.6843522087024,,,,,,,,,442.41253583821,,
4,2021-12-24,Moscow Exchange T+,96.02,96.05,3.0000000000001137,96.035,96.0,95.95,96.13,96.05,96.06,96.03,,96.05,96.05,96.06,Avg,210364.9,22,219,10,2024-02-06,12.692727382227002,12.717007086092998,12.698795815085,12.698795815085,12.698795815085,12.33,696.73273427108,1.6938597996193,,,,,,,,,434.0162997436,,
5,2021-12-23,Moscow Exchange T+,95.9,96.0,9.999999999999432,95.95,96.1,95.63,96.1,96.0,96.0,95.96,,96.0,96.0,96.0,Avg,134397.7,15,140,10,2024-02-06,12.726778738104,12.787496601269998,12.726778738104,12.726778738104,12.726778738104,12.05,697.70402847337,1.695708781557,,,,,,,,,435.76144811992,,
6,2021-12-22,Moscow Exchange T+,95.85,96.04,19.000000000001194,95.945,96.05,95.8,96.05,96.04,96.01,95.95,,96.04,96.04,96.01,Avg,159373.2,16,166,10,2024-02-06,12.717751205591,12.814816646091002,12.69957977909,12.69957977909,12.69957977909,11.78,698.71163899237,1.6982936959958,,,,,,,,,432.22226077719,,
7,2021-12-21,Moscow Exchange T+,95.52,95.99,46.999999999999886,95.755,95.94,95.9,96.04,95.9,95.92,95.92,,95.9,95.9,95.92,Avg,460409.2,24,480,10,2024-02-06,12.769306544538,13.012521358149002,12.726908004816002,12.781429357507,12.781429357507,11.51,699.668174376,1.6998411771933,,,,,,,,,425.57012288004,,
8,2021-12-20,Moscow Exchange T+,95.8,95.94,14.000000000000057,95.87,95.36,95.14,96.04,95.94,95.94,95.69,,95.92,95.92,95.94,Avg,265759.8,22,277,10,2024-02-06,12.754807760682,12.839624414664,12.754807760682,12.754807760682,12.766912500844,11.23,700.68039824202,1.7025192646554,,,,,,,,,416.55670918881,,
9,2021-12-17,Moscow Exchange T+,95.41,95.95,54.000000000000625,95.68,95.12,95.11,96.05,95.9,95.77,95.77,95.77,95.9,95.9,95.77,Avg,1257502.7,22,1313,10,2024-02-06,12.849187876775,13.067525259145,12.740502321005,12.77066058877,12.77066058877,10.41,703.60082090767,1.7081855157378,,,,,,,,,416.60600522521,,
