,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,94.98,94.99,0.9999999999990904,94.985,96.29,94.98,96.95,94.98,96.24,96.24,96.24,95.0,95.0,96.24,Avg,1156820.6,49,1202,8.15,2026-02-17,,,,,,30.14,,,2024-02-26,10.399787524762,11.129346849518,11.123498232396,11.129346849518,11.117650561115,708.2984421769,1.7577422209818,205.08635539334,,
1,2021-12-29,Moscow Exchange T+,96.01,96.77,75.99999999999909,96.39,97.87,94.23,97.87,95.72,96.8,96.8,96.8,95.72,95.72,96.8,Avg,798564.8,35,825,8.15,2026-02-17,,,,,,29.92,,,2024-02-26,10.077812492807,10.528896687645,10.094838950591,10.695917148999,10.695917148999,709.57318442944,1.7660562811888,164.65398122877,,
2,2021-12-28,Moscow Exchange T+,95.2,95.69,48.99999999999949,95.445,95.62,95.05,97.59,95.2,95.48,96.59,,95.2,95.2,95.48,Avg,310317.0,31,325,8.15,2026-02-17,,,,,,29.7,,,2024-02-26,10.831402013158,10.993830223648,10.710059902991,10.993830223648,10.993830223648,709.92974101213,1.7549295179388,244.74558318895,,
3,2021-12-27,Moscow Exchange T+,95.36,97.89,253.0000000000001,96.625,95.08,94.52,98.0,97.99,96.19,96.19,96.19,97.46,97.46,96.19,Avg,1904543.2,54,1980,8.15,2026-02-17,,,,,,29.47,,,2024-02-26,10.420541068413,10.898103683841,9.4618571202063,9.4062595321392,9.7019228496878,711.28072427955,1.764811414832,201.5870386203,,
4,2021-12-24,Moscow Exchange T+,94.52,94.7,18.000000000000682,94.61,93.81,93.81,94.9,94.83,94.51,94.54,,94.83,94.83,94.51,Avg,380872.3,16,403,8.15,2026-02-17,,,,,,28.8,,,2024-02-26,11.382481930942,11.376631450178,11.27148481838,11.195735955177,11.195735955177,713.45832118731,1.7549261770194,302.5223627963,,
5,2021-12-23,Moscow Exchange T+,93.94,94.69,75.0,94.315,94.41,93.96,94.94,94.69,94.49,94.49,94.49,93.99,93.99,94.49,Avg,1526971.6,29,1616,8.15,2026-02-17,,,,,,28.58,,,2024-02-26,11.39022138208,11.713178778138,11.273495744044,11.273495744044,11.683699407382,714.45169519655,1.7572475216958,301.30645286895,,
6,2021-12-22,Moscow Exchange T+,93.65,93.99,33.99999999999892,93.82,92.8,92.63,94.4,93.65,93.21,93.21,93.21,93.65,93.65,93.21,Avg,2176393.9,65,2335,8.15,2026-02-17,,,,,,28.36,,,2024-02-26,12.141466250965,11.880084329768,11.679392982587,11.880084329768,11.880084329768,714.80783746354,1.7463456670913,373.60790478531,,
7,2021-12-21,Moscow Exchange T+,92.65,93.39,73.99999999999949,93.02,94.43,91.6,94.44,92.9,92.82,92.82,92.82,92.94,92.94,92.82,Avg,787107.2,49,848,8.15,2026-02-17,,,,,,28.13,,,2024-02-26,12.370194170321,12.472221793514,12.03018062219,12.322280195487,12.298346910648,715.61153363559,1.7447505174151,384.73682230754,,
8,2021-12-20,Moscow Exchange T+,93.39,93.97,57.99999999999983,93.68,91.24,91.24,94.23,93.97,93.67,93.67,93.67,93.97,93.97,93.67,Avg,543271.2,42,580,8.15,2026-02-17,,,,,,27.91,,,2024-02-26,11.859813258328,12.0254740143,11.683159087521,11.683159087521,11.683159087521,717.04939016781,1.7562329311558,326.18697180888,,
9,2021-12-17,Moscow Exchange T+,92.0,92.3,29.999999999999716,92.15,92.0,92.0,92.3,92.0,92.16,92.11,,92.0,92.0,92.16,Avg,478317.1,32,519,8.15,2026-02-17,,,,,,27.24,,,2024-02-26,12.746210932546,12.84281516608,12.661892561761,12.84281516608,12.84281516608,719.28854707468,1.7478667684968,405.66316146263,,
