,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.6,97.7,10.000000000000853,97.65,97.19,97.19,97.77,97.7,97.67,97.67,97.67,97.7,97.7,97.67,Avg,3676423.2,70,3764,6.9,2023-06-19,8.8075662806096,8.862463757108,8.7840595144561,8.7840595144561,8.7840595144561,1.89,517.80326200301,1.303805537128,,,,,,,,,51.968542658748,,
1,2021-12-29,Moscow Exchange T+,97.61,97.75,14.000000000000057,97.68,97.78,97.5,97.78,97.75,97.75,97.75,97.75,97.7,97.7,97.75,Avg,4224809.1,86,4322,6.9,2023-06-19,8.7421804876337,8.8516953121014,8.7421804876337,8.7421804876337,8.7812619398207,1.7,518.81185550315,1.3071306253657,,,,,,,,,38.061685751131,,
2,2021-12-28,Moscow Exchange T+,97.55,97.73,18.000000000000682,97.64,97.79,97.41,97.79,97.74,97.59,97.71,97.71,97.74,97.74,97.59,Avg,3348406.5,111,3427,6.9,2023-06-19,8.864427218927599,8.8957227501652,8.7550662685071,8.747265075733699,8.747265075733699,1.51,519.79578972144,1.3081390224627,,,,,,,,,55.5981670559,,
3,2021-12-27,Moscow Exchange T+,97.58,97.62,4.000000000000625,97.6,98.39,97.4,98.39,97.62,97.47,97.46,97.46,97.62,97.62,97.47,Avg,12501557.8,122,12827,6.9,2023-06-19,8.9552943259994,8.8693144286675,8.8380902777363,8.8380902777363,8.8380902777363,1.32,520.78385015603,1.3095325727372,,,,,,,,,64.469171258965,,
4,2021-12-24,Moscow Exchange T+,97.49,97.5,1.0000000000005116,97.495,97.79,97.26,97.79,97.5,97.47,97.55,97.55,97.5,97.5,97.47,Avg,16429029.2,132,16841,6.9,2023-06-19,8.9453474030786,8.9297844320811,8.9220049992027,8.9220049992027,8.9220049992027,0.76,523.78515704603,1.3171997352159,,,,,,,,,67.24580523138,,
5,2021-12-23,Moscow Exchange T+,97.37,97.4,3.0000000000001137,97.385,98.54,97.1,98.55,97.4,97.37,97.37,97.37,97.4,97.4,97.37,Avg,42094063.6,300,43232,6.9,2023-06-19,9.0200832733808,9.0200832733808,8.99674045678,8.99674045678,8.99674045678,0.57,524.77533833796,1.3187851355565,,,,,,,,,76.81197614835,,
6,2021-12-22,Moscow Exchange T+,97.3,97.4,10.000000000000853,97.35,97.5,97.15,99.97,97.4,97.38,97.37,97.37,97.4,97.4,97.38,Avg,9526191.9,227,9784,6.9,2023-06-19,9.0091682893561,9.0713569036895,8.993634803838,8.993634803838,8.993634803838,0.38,525.77677225343,1.3214340868284,,,,,,,,,75.416123391203,,
7,2021-12-21,Moscow Exchange T+,97.6,97.69,9.000000000000341,97.645,97.49,97.0,98.5,97.69,97.47,97.5,97.5,97.6,97.6,97.47,Avg,13974081.2,199,14332,6.9,2023-06-19,8.93631380019,8.8357773746562,8.7663093771809,8.7663093771809,8.8357773746562,0.19,526.78634395837,1.3248568884636,,,,,,,,,55.841108974382,,
8,2021-12-20,Moscow Exchange T+,98.3,98.5,20.000000000000284,98.4,96.78,96.78,98.98,98.5,97.9,98.48,98.48,98.5,98.5,97.9,Avg,12225229.5,100,12414,6.9,2023-06-19,8.6022324442713,8.296458643264499,8.1443683717971,8.1443683717971,8.1443683717971,,527.83025192492,1.3315658865378,,,,,,,,,14.914756526252,,
9,2021-12-17,Moscow Exchange T+,98.24,98.74,50.0,98.49,97.89,97.43,99.9,98.75,97.45,97.81,97.81,98.68,98.68,97.45,Avg,1950280.7,135,1994,6.9,2023-06-19,8.9379882122285,8.334648462179201,7.9570482689393,7.949529549723799,8.0021878842906,33.84,512.7878833125,1.2896312236905,,,,,,,,,39.497385108774,,
10,2021-12-16,Moscow Exchange T+,97.18,97.79,60.99999999999994,97.485,97.95,97.12,98.0,97.18,97.45,97.88,97.88,97.18,97.18,97.45,Avg,1374245.7,61,1404,6.9,2023-06-19,8.9344207304183,9.1421697863775,8.6742029700951,9.1421697863775,9.1421697863775,33.65,513.78915925815,1.2921916899872,,,,,,,,,31.97114673668,,
11,2021-12-15,Moscow Exchange T+,96.81,97.13,31.99999999999932,96.97,97.95,96.38,97.95,97.17,96.77,97.01,97.01,97.08,97.08,96.77,Avg,5111306.4,104,5269,6.9,2023-06-19,9.4550372491781,9.4240302363475,9.1767578638026,9.145946418034,9.215302594403,33.46,514.6029098441,1.2880823224834,,,,,,,,,80.203331313738,,
12,2021-12-14,Moscow Exchange T+,96.67,96.8,12.999999999999543,96.735,96.76,96.26,98.1,96.8,97.17,96.86,96.86,96.8,96.8,97.17,Avg,3389245.6,105,3499,6.9,2023-06-19,9.1420279154819,9.5280389433862,9.4273494461559,9.4273494461559,9.4273494461559,33.27,515.71489912588,1.2945677836826,,,,,,,,,44.782675806225,,
13,2021-12-13,Moscow Exchange T+,97.59,97.6,0.9999999999990904,97.595,97.99,96.7,97.99,97.6,97.53,97.68,97.68,97.6,97.6,97.53,Avg,2340529.9,90,2396,6.9,2023-06-19,8.8627794156021,8.817056163272701,8.8094402718375,8.8094402718375,8.8094402718375,33.08,516.81478164875,1.3006565845808,,,,,,,,,23.160853812641,,
14,2021-12-10,Moscow Exchange T+,97.35,97.54,19.000000000001194,97.445,96.57,96.57,97.95,97.56,97.47,97.41,97.41,97.56,97.56,97.47,Avg,2422629.9,160,2487,6.9,2023-06-19,8.8974179419598,8.988615524036101,8.8443073508841,8.829144782683999,8.829144782683999,32.52,519.80239344077,1.3077593328908,,,,,,,,,22.77492951321,,
15,2021-12-09,Moscow Exchange T+,97.12,97.34,21.999999999999886,97.23,98.1,96.08,98.1,97.34,96.82,96.69,96.69,97.34,97.34,96.82,Avg,4048402.9,108,4187,6.9,2023-06-19,9.3893971031335,9.1600502146615,8.992625169050699,8.992625169050699,8.992625169050699,32.33,520.62639743211,1.303941450788,,,,,,,,,73.397659689506,,
