,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.46,98.5,4.000000000000625,98.48,98.49,97.93,99.18,98.45,98.49,98.5,98.5,98.45,98.45,98.49,Avg,37335956.9,454,37904,9.05,2024-02-15,10.085750664714,10.10264902574,10.080119642604,10.108283578415,10.108283578415,32.98,700.98082704832,1.7445449615182,,,,,,,,,173.84020798509,,
1,2021-12-29,Moscow Exchange T+,98.49,98.5,1.0000000000005116,98.495,98.17,98.11,98.89,98.49,98.55,98.55,98.55,98.49,98.49,98.55,Avg,11488461.9,485,11657,9.05,2024-02-15,10.051009368957,10.084742102177,10.079117778978,10.084742102177,10.084742102177,32.73,702.01228089846,1.7476634958266,,,,,,,,,162.14250794187,,
2,2021-12-28,Moscow Exchange T+,98.1,98.24,14.000000000000057,98.17,98.39,97.67,98.4,98.24,98.28,98.28,98.28,98.25,98.25,98.28,Avg,14023328.7,539,14269,9.05,2024-02-15,10.201913938198,10.303516347666,10.224467440158,10.224467440158,10.218827737232,32.48,702.87563522172,1.7474167217461,,,,,,,,,181.9738325976,,
3,2021-12-27,Moscow Exchange T+,98.32,98.4,8.00000000000125,98.36,98.37,97.34,98.5,98.4,98.39,98.39,98.39,98.4,98.4,98.39,Avg,15294125.0,874,15545,9.05,2024-02-15,10.138902136481,10.178265251448,10.133282358283,10.133282358283,10.133282358283,32.23,703.93269960075,1.7510459076869,,,,,,,,,173.65883651738,,
4,2021-12-24,Moscow Exchange T+,98.2,98.26,6.000000000000227,98.23,97.7,97.21,98.3,98.26,98.0,98.04,98.04,98.26,98.26,98.0,Avg,8587957.3,411,8760,9.05,2024-02-15,10.354270949504,10.241755961453,10.208070254084,10.208070254084,10.208070254084,31.49,706.7376199445,1.7545922194427,,,,,,,,,199.88519598258,,
5,2021-12-23,Moscow Exchange T+,97.57,97.7,13.000000000000966,97.635,97.25,97.15,97.75,97.7,97.52,97.52,97.52,97.7,97.7,97.52,Avg,5694371.6,430,5839,9.05,2024-02-15,10.624140650613,10.595798594919,10.522213792165,10.522213792165,10.522213792165,31.24,707.49302003421,1.7521826879646,,,,,,,,,225.02471316313,,
6,2021-12-22,Moscow Exchange T+,97.11,97.26,15.000000000000568,97.185,96.81,96.5,97.45,97.26,97.21,97.21,97.21,97.24,97.24,97.21,Avg,6280633.6,479,6461,9.05,2024-02-15,10.798547271657,10.855510217429,10.770099612483,10.770099612483,10.781475974151,30.99,708.3348537359,1.7515062089531,,,,,,,,,239.70680792041,,
7,2021-12-21,Moscow Exchange T+,97.05,97.1,4.999999999999716,97.075,97.19,96.75,97.2,97.1,97.09,97.08,97.08,97.1,97.1,97.09,Avg,7035261.0,430,7247,9.05,2024-02-15,10.864457236813,10.887247650068,10.858761891013,10.858761891013,10.858761891013,30.75,709.27506268553,1.7527884032955,,,,,,,,,234.52383230308,,
8,2021-12-20,Moscow Exchange T+,97.06,97.19,12.999999999999543,97.125,96.3,96.1,97.2,97.19,96.83,96.97,96.97,97.19,97.19,96.83,Avg,10425068.7,657,10751,9.05,2024-02-15,11.010801643998,10.879651305378,10.80573413451,10.80573413451,10.80573413451,30.5,710.14226840258,1.7526179678774,,,,,,,,,241.64547379662,,
9,2021-12-17,Moscow Exchange T+,96.38,96.39,1.0000000000005116,96.385,96.44,96.2,96.95,96.39,96.54,96.51,96.51,96.39,96.39,96.54,Avg,7860450.8,603,8145,9.05,2024-02-15,11.170164490509,11.261781912547,11.256048976138,11.256048976138,11.256048976138,29.75,712.99760454011,1.757142398397,,,,,,,,,248.30961716553,,
