,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.0,97.21,20.999999999999375,97.105,98.49,96.9,98.5,97.0,97.58,97.58,97.58,97.0,97.0,97.58,Avg,12749262.5,317,13066,8.5,2024-02-22,10.002990086567,10.329971908518,10.211236028651,10.329971908518,10.329971908518,29.34,711.80721847004,1.7728215945739,,,,,,,,,165.33252603046,,
1,2021-12-29,Moscow Exchange T+,97.62,97.88,25.99999999999909,97.75,97.9,97.0,98.51,97.88,97.87,97.87,97.87,97.67,97.67,97.87,Avg,4203429.1,209,4295,8.5,2024-02-22,9.8389874112434,9.9787543000918,9.8334081338481,9.8334081338481,9.9507570027891,29.11,712.94941706696,1.7783176267302,,,,,,,,,140.69809949292,,
2,2021-12-28,Moscow Exchange T+,97.52,97.7,18.000000000000682,97.61,97.75,96.37,97.9,97.7,97.58,97.58,97.58,97.7,97.7,97.58,Avg,4926869.5,222,5049,8.5,2024-02-22,9.999353977412,10.032960885054,9.9322351808435,9.9322351808435,9.9322351808435,28.88,713.81037186488,1.7778693998748,,,,,,,,,161.44576905658,,
3,2021-12-27,Moscow Exchange T+,97.4,97.5,9.999999999999432,97.45,96.99,96.99,97.71,97.5,97.57,97.57,97.57,97.5,97.5,97.57,Avg,5052090.8,242,5178,8.5,2024-02-22,10.003699588789,10.09890475715,10.042870881401,10.042870881401,10.042870881401,28.64,714.80660315458,1.7802803565141,,,,,,,,,159.79246524093,,
4,2021-12-24,Moscow Exchange T+,96.87,96.88,0.9999999999990904,96.875,96.89,96.5,97.0,96.88,96.78,96.78,96.78,96.88,96.88,96.78,Avg,6357215.7,276,6569,8.5,2024-02-22,10.441321965085,10.39057270664,10.384938360372,10.384938360372,10.384938360372,27.95,717.42684430473,1.7797260691216,,,,,,,,,208.30061116991,,
5,2021-12-23,Moscow Exchange T+,96.8,96.9,10.000000000000853,96.85,96.85,96.21,96.9,96.9,96.66,96.66,96.66,96.9,96.9,96.66,Avg,1813334.5,222,1876,8.5,2024-02-22,10.507279344844,10.428309636594,10.372009747483,10.372009747483,10.372009747483,27.71,718.36956807738,1.7810010477319,,,,,,,,,212.83203446236,,
6,2021-12-22,Moscow Exchange T+,96.4,96.7,29.999999999999716,96.55,96.5,96.02,96.9,96.4,96.64,96.64,96.64,96.68,96.68,96.64,Avg,3437643.3,244,3557,8.5,2024-02-22,10.516185086892,10.651852496593,10.482348835998,10.651852496593,10.493624012855,27.48,719.36183368917,1.7833173822684,,,,,,,,,210.80932966595,,
7,2021-12-21,Moscow Exchange T+,96.11,96.5,39.00000000000006,96.305,95.91,95.7,96.7,96.5,96.43,96.43,96.43,96.42,96.42,96.43,Avg,2675970.0,193,2775,8.5,2024-02-22,10.632345256104,10.813740344671,10.592787898254,10.592787898254,10.637999896413,27.25,720.2609344433,1.7836715149116,,,,,,,,,210.69201769872,,
8,2021-12-20,Moscow Exchange T+,96.01,96.09,7.999999999999829,96.05,95.62,94.8,96.1,95.9,95.96,95.96,95.96,96.06,96.06,95.96,Avg,3314372.3,291,3454,8.5,2024-02-22,10.896831293682,10.868392619337,10.822937865851,10.930987659956,10.839976607499,27.01,721.03107591737,1.7813201533429,,,,,,,,,229.68637333184,,
9,2021-12-17,Moscow Exchange T+,95.24,95.63,39.00000000000006,95.435,95.87,94.64,95.98,95.63,95.52,95.52,95.52,95.63,95.63,95.52,Avg,2840703.4,353,2974,8.5,2024-02-22,11.138771721767,11.299008151899,11.076018107014,11.076018107014,11.076018107014,26.32,723.82066544604,1.7843190864617,,,,,,,,,244.74452855416,,
