,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.82,95.98,16.00000000000108,95.9,95.94,95.6,96.0,95.98,95.99,95.99,95.99,95.98,95.98,95.99,Avg,6072352.0,42,6326,6.9,2031-02-17,,,,,,5.86,,,2023-11-30,9.5336292017904,9.6413477755557,9.5399571901075,9.5399571901075,9.5399571901075,654.24653309081,1.6364437735749,119.74196931619,,
1,2021-12-29,Moscow Exchange T+,95.6,95.95,35.00000000000085,95.775,95.46,93.27,96.35,95.6,95.94,95.94,95.94,95.6,95.6,95.94,Avg,17707589.6,50,18456,6.9,2031-02-17,,,,,,5.67,,,2023-11-30,9.5620194154604,9.7776457546405,9.5556958532643,9.7776457546405,9.7776457546405,655.23383103476,1.6384885843605,114.44148408141,,
2,2021-12-28,Moscow Exchange T+,95.2,95.3,9.999999999999432,95.25,95.47,93.48,95.47,95.3,95.35,95.35,95.35,95.3,95.3,95.35,Avg,538728.4,47,565,6.9,2031-02-17,,,,,,5.48,,,2023-11-30,9.9332155933126,10.029000713954,9.9651173480798,9.9651173480798,9.9651173480798,656.06769745774,1.6350342676312,156.43570560883,,
3,2021-12-27,Moscow Exchange T+,95.12,95.3,17.99999999999926,95.21,94.42,94.42,95.47,95.3,95.3,95.3,95.3,95.3,95.3,95.3,Avg,1323652.7,33,1389,6.9,2031-02-17,,,,,,5.29,,,2023-11-30,9.9613297546923,10.07623996501,9.9613297546923,9.9613297546923,9.9613297546923,657.05511031197,1.6370764078353,157.59824197793,,
4,2021-12-24,Moscow Exchange T+,95.1,95.3,20.000000000000284,95.2,94.89,94.89,95.3,95.3,95.24,95.24,95.24,95.3,95.3,95.24,Avg,899080.8,25,944,6.9,2031-02-17,,,,,,4.73,,,2023-11-30,9.9875251409856,10.07659436033,9.9494161732965,9.9494161732965,9.9494161732965,660.04338168557,1.6441301226637,164.67298085774,,
5,2021-12-23,Moscow Exchange T+,94.91,94.99,7.999999999999829,94.95,95.46,93.8,95.46,94.9,94.67,94.62,,94.9,94.9,94.67,Avg,355952.0,21,376,6.9,2031-02-17,,,,,,4.54,,,2023-11-30,10.347194779099,10.193740448533,10.142725685133,10.200122088969,10.200122088969,660.88229170941,1.6408540509497,199.73651067031,,
6,2021-12-22,Moscow Exchange T+,94.75,94.82,6.999999999999318,94.785,93.03,93.03,94.97,94.82,94.57,94.57,94.57,94.82,94.82,94.57,Avg,1244588.9,47,1316,6.9,2031-02-17,,,,,,4.35,,,2023-11-30,10.406970111448,10.291784683088,10.247083988779,10.247083988779,10.247083988779,661.85550981208,1.6423806982277,203.58554614629,,
7,2021-12-21,Moscow Exchange T+,94.52,94.55,3.0000000000001137,94.535,94.71,94.2,94.71,94.55,94.61,94.14,,94.55,94.55,94.61,Avg,368026.2,30,389,6.9,2031-02-17,,,,,,4.16,,,2023-11-30,10.377047470641,10.434653978388,10.415442153799,10.415442153799,10.415442153799,662.86891676788,1.6453413690964,188.66288615091,,
8,2021-12-20,Moscow Exchange T+,94.23,94.78,54.99999999999971,94.505,94.82,94.0,94.85,94.78,94.22,94.22,94.22,94.78,94.78,94.22,Avg,4522521.3,43,4800,6.9,2031-02-17,,,,,,3.97,,,2023-11-30,10.622687134076,10.616258465045,10.264337784734,10.264337784734,10.264337784734,663.75883686723,1.6438918710011,205.54486641776,,
9,2021-12-17,Moscow Exchange T+,93.75,94.22,46.999999999999886,93.985,94.7,93.67,94.7,93.8,94.01,94.42,,93.85,93.85,94.01,Avg,154177.9,36,164,6.9,2031-02-17,,,,,,3.4,,,2023-11-30,10.743638554354,10.911079347808,10.608931986216,10.878822157547,10.846592168396,666.70461743958,1.6493841242977,207.83023889341,,
10,2021-12-16,Moscow Exchange T+,93.75,94.0,25.0,93.875,94.89,93.51,94.89,94.05,94.0,94.57,,93.97,93.97,94.0,Avg,34781.3,17,37,6.9,2031-02-17,,,,,,3.21,,,2023-11-30,10.745323366312,10.906121393209,10.745323366312,10.713244921063,10.764583392621,667.70386210248,1.6518310606625,202.78205740241,,
11,2021-12-15,Moscow Exchange T+,93.78,94.07,28.999999999999204,93.925,94.24,93.68,94.24,93.75,94.12,94.6,,93.75,93.75,94.12,Avg,32001.6,13,34,6.9,2031-02-17,,,,,,3.02,,,2023-11-30,10.663758654989,10.881875347087,10.695756443412,10.901180975485,10.901180975485,668.74042679051,1.6556147876404,191.60621913419,,
12,2021-12-14,Moscow Exchange T+,93.25,94.19,93.99999999999976,93.72,94.69,92.3,95.0,94.24,94.77,94.56,94.56,94.04,94.04,94.77,Avg,1780475.9,49,1883,6.9,2031-02-17,,,,,,2.84,,,2023-11-30,10.245533546283,11.218381804596,10.613823329454,10.581933162281,10.709654585746,669.92783403164,1.6648463337554,147.10514148725,,
13,2021-12-13,Moscow Exchange T+,94.01,94.7,68.99999999999977,94.355,94.68,93.99,94.68,94.0,94.0,94.0,94.0,94.0,94.0,94.0,Avg,181866624.9,21,193475,6.9,2031-02-17,,,,,,2.65,,,2023-11-30,10.730559921147,10.7241678986,10.285696349856,10.730559921147,10.730559921147,670.71048078503,1.6594903542107,200.915334264,,
