,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,93.75,93.99,23.99999999999949,93.87,93.75,93.61,93.99,93.99,93.75,93.75,93.75,93.76,93.76,93.75,Avg,524049.8,28,559,7.35,2031-02-17,,,,,,6.24,,,2025-02-27,10.024151088007,10.024151088007,9.9249290021962,9.9249290021962,10.020009621939,1027.4045152794,2.5583536553942,163.15303710372,,
1,2021-12-29,Moscow Exchange T+,93.65,93.71,5.999999999998806,93.68,93.75,93.57,93.75,93.65,93.7,93.7,93.7,93.65,93.65,93.7,Avg,47678087.0,37,50885,7.35,2031-02-17,,,,,,6.04,,,2025-02-27,10.042907776877,10.063624055492,10.038766408237,10.063624055492,10.063624055492,1028.3665760671,2.5603128189497,157.62436764351,,
2,2021-12-28,Moscow Exchange T+,93.4,93.67,26.9999999999996,93.535,93.4,93.25,93.72,93.4,93.49,93.49,93.49,93.45,93.45,93.49,Avg,3043097.1,150,3255,7.35,2031-02-17,,,,,,5.84,,,2025-02-27,10.127999494368,10.165390195549,10.053371480575,10.165390195549,10.14461125923,1029.1944015247,2.5603939979432,170.06779889748,,
3,2021-12-27,Moscow Exchange T+,93.4,93.5,9.999999999999432,93.45,93.5,93.13,93.5,93.4,93.49,93.49,93.49,93.44,93.44,93.49,Avg,1812768.5,40,1939,7.35,2031-02-17,,,,,,5.64,,,2025-02-27,10.125982694898,10.163344208734,10.121834573569,10.163344208734,10.146732772156,1030.1984834362,2.5629388536535,166.66600609459,,
4,2021-12-24,Moscow Exchange T+,93.37,93.49,11.999999999999034,93.43,93.49,92.68,93.5,93.5,93.38,93.38,93.38,93.5,93.5,93.38,Avg,1052398.7,41,1127,7.35,2031-02-17,,,,,,5.03,,,2025-02-27,10.165945561596,10.170091631155,10.120380424116,10.116241918882,10.116241918882,1033.1175901607,2.5692686943285,176.47765714265,,
5,2021-12-23,Moscow Exchange T+,93.15,93.23,7.999999999999829,93.19,93.65,93.03,93.66,93.23,93.26,93.26,93.26,93.23,93.23,93.26,Avg,558614.1,28,599,7.35,2031-02-17,,,,,,4.83,,,2025-02-27,10.213671717324,10.259361300864,10.226124910812,10.226124910812,10.226124910812,1034.0209543204,2.5704017271938,174.81919732632,,
6,2021-12-22,Moscow Exchange T+,92.75,93.0,25.0,92.875,91.45,91.45,93.0,93.0,92.35,92.35,92.35,93.0,93.0,92.35,Avg,3758615.2,76,4070,7.35,2031-02-17,,,,,,4.63,,,2025-02-27,10.591615313246,10.423926659654,10.319642589263,10.319642589263,10.319642589263,1034.2546191387,2.5621963211083,206.67576709039,,
7,2021-12-21,Moscow Exchange T+,92.25,92.35,9.999999999999432,92.3,92.49,92.2,92.5,92.36,92.46,92.46,92.46,92.36,92.36,92.46,Avg,822865.8,21,890,7.35,2031-02-17,,,,,,4.43,,,2025-02-27,10.543082476471,10.631314780609,10.589263810693,10.585062275581,10.585062275581,1035.3531331863,2.5660438111464,191.46974705375,,
8,2021-12-20,Moscow Exchange T+,92.14,92.34,20.000000000000284,92.24,91.92,91.77,92.47,92.35,92.35,91.74,,92.35,92.35,92.35,Avg,69262.9,15,75,7.35,2031-02-17,,,,,,4.23,,,2025-02-27,10.586918716736,10.675232149016,10.591117640452,10.586918716736,10.586918716736,1036.2641538637,2.56728364127,191.20773775714,,
9,2021-12-17,Moscow Exchange T+,91.59,92.03,43.99999999999977,91.81,92.37,91.5,92.37,92.1,91.68,91.68,91.68,92.1,92.1,91.68,Avg,611480.5,33,667,7.35,2031-02-17,,,,,,3.62,,,2025-02-27,10.862454968517,10.90057429117,10.714717493578,10.685265840384,10.685265840384,1038.7042813134,2.5669331922079,213.9170106384,,
10,2021-12-16,Moscow Exchange T+,91.61,91.74,12.999999999999543,91.675,92.65,91.54,92.65,91.6,91.58,91.58,91.58,91.6,91.6,91.58,Avg,673149.1,24,735,7.35,2031-02-17,,,,,,3.42,,,2025-02-27,10.902242616652,10.889538109489,10.834553528769,10.893772287808,10.893772287808,1039.6233518968,2.5682827404376,211.85898332236,,
11,2021-12-15,Moscow Exchange T+,91.48,91.84,35.99999999999994,91.66,91.93,91.48,92.19,91.48,91.6,91.57,,91.48,91.48,91.6,Avg,111753.7,18,122,7.35,2031-02-17,,,,,,3.22,,,2025-02-27,10.891215234704,10.942037446734,10.789854222269,10.942037446734,10.942037446734,1040.6457840682,2.5710642036688,208.84116515366,,
12,2021-12-14,Moscow Exchange T+,91.85,92.04,19.000000000001194,91.945,91.6,91.3,92.21,92.0,91.45,91.66,,92.0,92.0,91.45,Avg,271593.4,24,297,7.35,2031-02-17,,,,,,3.02,,,2025-02-27,10.952158607508,10.783170115056,10.703266580849,10.7200688846,10.7200688846,1041.5217913762,2.5718150919704,212.89827273688,,
13,2021-12-13,Moscow Exchange T+,91.8,91.89,9.000000000000341,91.845,91.61,91.06,92.64,91.81,91.81,91.96,,91.81,91.81,91.81,Avg,142302.5,26,155,7.35,2031-02-17,,,,,,2.82,,,2025-02-27,10.797546614702,10.801757938127,10.76387947993,10.797546614702,10.797546614702,1042.8362619646,2.5786542540997,202.29521801371,,
14,2021-12-10,Moscow Exchange T+,91.64,92.32,67.99999999999926,91.98,92.01,91.69,92.01,91.69,92.0,92.0,92.0,91.69,91.69,92.0,Avg,601656.5,20,654,7.35,2031-02-17,,,,,,2.22,,,2025-02-27,10.710452809853,10.861677096291,10.576735215259,10.84062329232,10.84062329232,1046.0132651642,2.5885448887967,194.60145687835,,
15,2021-12-09,Moscow Exchange T+,91.93,92.18,25.0,92.055,92.38,91.88,92.74,92.24,92.06,92.37,,92.21,92.21,92.06,Avg,97583.1,16,106,7.35,2031-02-17,,,,,,2.01,,,2025-02-27,10.683380037459,10.737800383303,10.633242663295,10.608208724387,10.620722802047,1047.0682653669,2.5917894611788,191.54222318402,,
16,2021-12-08,Moscow Exchange T+,92.39,92.41,1.999999999999602,92.4,92.38,92.38,92.79,92.4,92.54,92.37,,92.41,92.41,92.54,Avg,56450.0,21,61,7.35,2031-02-17,,,,,,1.81,,,2025-02-27,10.481175050611,10.543467409393,10.53515346766,10.539310119132,10.53515346766,1048.4787499589,2.6000307465227,167.37053253008,,
17,2021-12-07,Moscow Exchange T+,92.23,92.37,14.000000000000057,92.3,92.85,92.23,92.85,92.38,92.46,92.37,,92.33,92.33,92.46,Avg,132219.8,16,143,7.35,2031-02-17,,,,,,1.61,,,2025-02-27,10.512150578157,10.607768957141,10.549526206987,10.545370806662,10.566154197391,1049.4159036957,2.6016252962938,171.0526785851,,
18,2021-12-06,Moscow Exchange T+,92.39,92.73,34.00000000000034,92.56,92.8,92.37,93.09,92.43,92.37,92.37,92.37,92.43,92.43,92.37,Avg,520638842.2,50,563631,7.35,2031-02-17,,,,,,1.41,,,2025-02-27,10.54727465651,10.538970816541,10.398194780287,10.52237078926,10.52237078926,1050.3446249506,2.6031003619541,176.98436498422,,
19,2021-12-03,Moscow Exchange T+,92.8,92.96,15.99999999999966,92.88,92.79,92.7,93.0,92.8,92.99,92.99,92.99,92.82,92.82,92.99,Avg,1652467.7,14,1777,7.35,2031-02-17,,,,,,0.81,,,2025-02-27,10.284900334257,10.362989059352,10.297215078387,10.362989059352,10.354758516636,1053.8766739964,2.6180676998062,154.4509182065,,
20,2021-12-02,Moscow Exchange T+,92.56,92.88,31.99999999999932,92.72,94.34,92.03,94.34,92.88,92.49,92.56,,92.88,92.88,92.49,Avg,349631.0,40,378,7.35,2031-02-17,,,,,,0.6,,,2025-02-27,10.489108849519,10.460197413939,10.328424801092,10.328424801092,10.328424801092,1054.462654289,2.6146819437276,175.42020001812,,
21,2021-12-01,Moscow Exchange T+,92.52,93.15,63.000000000000966,92.835,93.89,92.03,93.89,92.5,93.12,93.12,93.12,92.77,92.77,93.12,Avg,1033627.8,110,1110,7.35,2031-02-17,,,,,,0.4,,,2025-02-27,10.228028944694,10.474539928561,10.215762550667,10.482795996937,10.371552227182,1055.9918778405,2.6246758289503,149.57674507086,,
