,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.15,98.5,34.99999999999943,98.325,98.38,97.21,98.86,98.5,98.39,98.39,98.39,98.5,98.5,98.39,Avg,609990.0,41,620,9.5,2026-03-12,,,,,,3.64,,,2024-03-19,10.728556106108,10.862911127208,10.667146766316,10.667146766316,10.667146766316,732.45184113416,1.8122853250676,237.47126017693,,
1,2021-12-29,Moscow Exchange T+,97.63,97.91,28.000000000000114,97.77,97.51,96.62,98.6,97.89,97.27,97.08,,97.89,97.89,97.27,Avg,287914.5,56,296,9.5,2026-03-12,,,,,,3.38,,,2024-03-19,11.35836916076,11.15442215607,10.996602830186,11.007852375607,11.007852375607,732.94053048207,1.8032378374698,292.22608494399,,
2,2021-12-28,Moscow Exchange T+,96.92,97.28,35.99999999999994,97.1,99.85,96.55,99.85,96.91,97.04,97.04,97.04,96.91,96.91,97.04,Avg,5761049.7,162,5937,9.5,2026-03-12,,,,,,3.12,,,2024-03-19,11.487568572991,11.555987208416,11.351124886803,11.561694702944,11.561694702944,733.83555902909,1.8033475899022,309.80257993789,,
3,2021-12-27,Moscow Exchange T+,98.16,98.88,71.99999999999989,98.52,99.8,98.06,99.8,98.89,99.51,98.89,,98.89,98.89,99.51,Avg,124388.7,17,125,9.5,2026-03-12,,,,,,2.86,,,2024-03-19,10.107679284074,10.854266458902,10.454117719706,10.448591956934,10.448591956934,735.95524551248,1.831221722445,169.56273076225,,
4,2021-12-24,Moscow Exchange T+,98.12,98.5,37.999999999999545,98.31,98.88,98.11,99.0,98.49,98.7,98.3,,98.49,98.49,98.7,Avg,127321.6,26,129,9.5,2026-03-12,,,,,,2.08,,,2024-03-19,10.551744561777,10.873579445905,10.6623900236,10.667931442876,10.667931442876,738.59526533094,1.8304086291545,218.81276953884,,
5,2021-12-23,Moscow Exchange T+,98.26,98.88,61.999999999999034,98.57,97.24,97.24,98.89,98.88,98.21,98.21,98.21,98.88,98.88,98.21,Avg,918297.3,28,935,9.5,2026-03-12,,,,,,1.82,,,2024-03-19,10.822497577974,10.794707197877,10.451918633808,10.451918633808,10.451918633808,739.37561713203,1.8278658815231,243.42927018498,,
6,2021-12-22,Moscow Exchange T+,97.78,97.99,20.999999999999375,97.885,98.49,97.23,98.5,97.23,97.74,97.86,,97.27,97.27,97.74,Avg,238478.8,47,244,9.5,2026-03-12,,,,,,1.56,,,2024-03-19,11.083573871187,11.061198400028,10.943959629013,11.370111485503,11.347553764063,740.16370289608,1.82551361168,266.35872526936,,
7,2021-12-21,Moscow Exchange T+,97.86,98.28,42.00000000000017,98.07,98.39,97.85,98.39,97.91,97.99,97.84,,97.91,97.91,97.99,Avg,310618.5,28,317,9.5,2026-03-12,,,,,,1.3,,,2024-03-19,10.942889594842,11.015340522441,10.781803908719,10.987457133604,10.987457133604,741.2779096981,1.8305800309973,240.62050440651,,
8,2021-12-20,Moscow Exchange T+,97.86,98.15,29.000000000000625,98.005,97.81,97.8,98.19,97.91,97.98,97.5,,97.91,97.91,97.98,Avg,87199.6,14,89,9.5,2026-03-12,,,,,,1.04,,,2024-03-19,10.947388055926,11.014197986863,10.852957422281,10.986345093762,10.986345093762,742.2742583659,1.8329661840141,233.72139792506,,
9,2021-12-17,Moscow Exchange T+,97.32,97.68,36.000000000001364,97.5,96.91,96.9,97.89,97.5,97.21,97.46,,97.5,97.5,97.21,Avg,224563.3,36,231,9.5,2026-03-12,,,,,,0.26,,,2024-03-19,11.373727335621,11.312047037634,11.110936958438,11.211348232152,11.211348232152,744.9280535967,1.8324777537768,267.49240627159,,
10,2021-12-16,Moscow Exchange T+,97.63,97.8,17.00000000000017,97.715,98.09,97.8,98.09,97.8,97.99,97.58,,97.8,97.8,97.99,Avg,51934.1,15,53,9.5,2026-03-12,,,,,,,,,2024-03-19,10.93763979662,11.137546180535,11.043003976206,11.043003976206,11.043003976206,746.28217074965,1.8430252263647,218.97100672487,,
11,2021-12-15,Moscow Exchange T+,97.51,97.97,45.999999999999375,97.74,97.52,97.5,97.96,97.5,97.54,97.54,97.54,97.5,97.5,97.54,Avg,528670.7,37,542,9.5,2026-03-12,,,,,,23.42,,,2024-03-19,11.186016826485,11.202732201703,10.947300987698,11.208305762577,11.208305762577,729.39759804444,1.797302970932,241.6624676743,,
12,2021-12-14,Moscow Exchange T+,97.5,97.51,1.0000000000005116,97.505,97.01,96.15,98.0,97.5,97.54,97.62,,97.5,97.5,97.54,Avg,307248.1,27,315,9.5,2026-03-12,,,,,,23.16,,,2024-03-19,11.184340831765,11.206604652636,11.201037372487,11.206604652636,11.206604652636,730.39945875527,1.7997987779381,239.09967361662,,
13,2021-12-13,Moscow Exchange T+,97.5,98.0,50.0,97.75,98.01,97.5,98.9,97.5,97.74,97.77,,97.5,97.5,97.74,Avg,196464.9,39,201,9.5,2026-03-12,,,,,,22.9,,,2024-03-19,11.071690567029,11.2049119903,10.927937177919,11.2049119903,11.2049119903,731.52450331773,1.8043992228686,232.93620375073,,
14,2021-12-10,Moscow Exchange T+,97.78,97.79,1.0000000000005116,97.785,97.78,97.78,98.41,97.78,97.78,97.78,97.78,97.78,97.78,97.78,Avg,519226.9,15,531,9.5,2026-03-12,,,,,,22.12,,,2024-03-19,11.045030085683,11.045030085683,11.039512251598,11.045030085683,11.045030085683,734.55409098655,1.8123070974488,228.76957870102,,
15,2021-12-09,Moscow Exchange T+,97.8,97.9,10.000000000000853,97.85,97.03,97.01,98.0,97.8,97.79,97.79,97.79,97.8,97.8,97.79,Avg,984740.7,29,1007,9.5,2026-03-12,,,,,,21.86,,,2024-03-19,11.038032036996,11.032521227965,10.977460971345,11.032521227965,11.032521227965,735.56185699745,1.8149078540091,228.84662281834,,
