,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.49,96.5,1.0000000000005116,96.495,94.89,94.89,97.01,96.49,96.52,96.52,,96.5,96.5,96.52,Avg,491303.9,85.0,509.0,6.5,2024-03-22,8.4035857651452,8.4195634236295,8.414236706954,8.4195634236295,8.414236706954,17.27,756.35714755928,1.911570865991,,,,,,,,,4.5257246208903,,
1,2021-12-29,Moscow Exchange T+,96.39,96.4,1.0000000000005116,96.395,94.65,94.65,96.4,96.4,96.3,96.3,96.3,96.4,96.4,96.3,Avg,620156.7,86.0,644.0,6.5,2024-03-22,8.5182825551796,8.470286143968101,8.4649573709562,8.4649573709562,8.4649573709562,17.1,757.27559343337,1.9118692301338,,,,,,,,,7.7698636357834,,
2,2021-12-28,Moscow Exchange T+,96.66,96.72,6.000000000000227,96.69,96.98,95.12,96.98,96.66,96.04,96.02,,96.66,96.66,96.04,Avg,462933.1,85.0,482.0,6.5,2024-03-22,8.655052924565,8.3248170103321,8.2930277517987,8.3248170103321,8.3248170103321,16.92,758.17830089231,1.9117388178943,,,,,,,,,26.03954379233,,
3,2021-12-27,Moscow Exchange T+,95.24,95.59,35.00000000000085,95.415,97.0,94.2,97.01,95.78,95.43,95.43,95.43,95.78,95.78,95.43,Avg,1242528.4,138.0,1302.0,6.5,2024-03-22,8.9804688766168,9.0831752781329,8.894217483463999,8.7920754829321,8.7920754829321,16.74,758.9466255504,1.9079618989159,,,,,,,,,56.222070699187,,
4,2021-12-24,Moscow Exchange T+,96.7,96.71,0.9999999999990904,96.705,96.99,95.85,96.99,96.71,96.68,96.49,,96.71,96.71,96.68,Avg,197221.8,63.0,204.0,6.5,2024-03-22,8.3062717036972,8.2957241148146,8.2904515489216,8.2904515489216,8.2904515489216,16.21,762.42631589298,1.928641055376,,,,,,,,,-6.2680522769762,,
5,2021-12-23,Moscow Exchange T+,96.39,96.54,15.000000000000568,96.465,96.78,94.63,96.78,96.39,96.47,96.29,,96.48,96.48,96.47,Avg,163993.5,60.0,170.0,6.5,2024-03-22,8.4152550799277,8.4575678263111,8.3782746222067,8.4575678263111,8.4099696910265,16.03,763.34885169627,1.929033617487,,,,,,,,,1.7308943357801,,
6,2021-12-22,Moscow Exchange T+,96.31,96.41,9.999999999999432,96.36,95.47,95.47,97.99,96.31,96.21,96.26,,96.31,96.31,96.21,Avg,258800.7,67.0,269.0,6.5,2024-03-22,8.550849254857699,8.4978787670669,8.4449907741087,8.4978787670669,8.4978787670669,15.85,764.25243113572,1.9289045562124,,,,,,,,,11.799351006625,,
7,2021-12-21,Moscow Exchange T+,96.11,96.19,7.999999999999829,96.15,96.94,95.51,96.94,96.16,96.31,96.08,,96.16,96.16,96.31,Avg,157951.3,50.0,164.0,6.5,2024-03-22,8.4958313599739,8.6017337280794,8.5593331301416,8.5752271508202,8.5752271508202,15.67,765.29155974298,1.932506694952,,,,,,,,,-5.2774550732464,,
8,2021-12-20,Moscow Exchange T+,96.07,96.33,26.00000000000051,96.2,95.65,95.65,96.99,96.24,96.31,95.77,,96.38,96.38,96.31,Avg,179130.1,81.0,186.0,6.5,2024-03-22,8.493791086698401,8.6207683782409,8.4832310733376,8.5307770552663,8.4568454233479,15.49,766.29301063315,1.935071938049,,,,,,,,,-12.677435702354,,
9,2021-12-17,Moscow Exchange T+,95.67,95.98,31.000000000000227,95.825,95.4,94.56,96.5,95.65,95.48,95.27,,95.76,95.76,95.48,Avg,307439.1,73.0,322.0,6.5,2024-03-22,8.926834947611601,8.8256881454968,8.6613039427364,8.8363209925032,8.7778815352268,14.96,768.98482769916,1.9341494206953,,,,,,,,,22.076634940096,,
10,2021-12-16,Moscow Exchange T+,94.9,95.4,50.0,95.15,93.81,93.81,95.4,95.4,94.75,94.74,,95.4,95.4,94.75,Avg,410278.9,126.0,433.0,6.5,2024-03-22,9.3153183004821,9.2346091397421,8.9669536175406,8.9669536175406,8.9669536175406,14.78,769.70795796163,1.9290882181084,,,,,,,,,56.053871222434,,
11,2021-12-15,Moscow Exchange T+,94.5,94.6,9.999999999999432,94.55,94.7,94.05,94.7,94.7,94.47,94.49,,94.59,94.59,94.47,Avg,426063.7,78.0,451.0,6.5,2024-03-22,9.4633685228618,9.4471580814872,9.393178923281,9.3392852001023,9.398572990768,14.6,770.60234451457,1.9287176418283,,,,,,,,,68.299526775066,,
12,2021-12-14,Moscow Exchange T+,94.25,94.76,51.00000000000051,94.505,94.26,93.54,94.96,94.8,94.18,94.18,94.18,94.8,94.8,94.18,Avg,815565.0,137.0,866.0,6.5,2024-03-22,9.6171785277773,9.5792349531934,9.3040575480795,9.2825688421348,9.2825688421348,14.42,771.4925645749,1.9282363289197,,,,,,,,,81.413994913486,,
13,2021-12-13,Moscow Exchange T+,94.83,94.86,3.0000000000001137,94.845,95.89,94.49,95.89,94.83,94.85,94.86,,94.78,94.78,94.85,Avg,475185.7,109.0,501.0,6.5,2024-03-22,9.252323116733,9.263044922937,9.2469634830809,9.263044922937,9.2898642591972,14.25,772.7528798068,1.9378363014677,,,,,,,,,49.942522797949,,
14,2021-12-10,Moscow Exchange T+,94.92,95.0,7.999999999999829,94.96,95.81,94.27,95.81,95.0,94.92,94.88,,95.0,95.0,94.92,Avg,248683.8,66.0,262.0,6.5,2024-03-22,9.2064043782809,9.2064043782809,9.163743495492,9.163743495492,9.163743495492,13.71,775.78561821548,1.9462595275485,,,,,,,,,44.224847531819,,
15,2021-12-09,Moscow Exchange T+,94.85,95.0,15.000000000000568,94.925,95.51,94.6,96.54,95.0,95.03,95.3,,95.0,95.0,95.03,Avg,330687.1,77.0,348.0,6.5,2024-03-22,9.1450375355146,9.2409464539066,9.1610034788342,9.1610034788342,9.1610034788342,13.53,776.82936236556,1.9499737880678,,,,,,,,,38.719743968477,,
16,2021-12-08,Moscow Exchange T+,95.57,95.62,5.000000000001137,95.595,96.7,95.56,96.7,95.57,95.91,95.97,,95.57,95.57,95.91,Avg,193733.8,48.0,202.0,6.5,2024-03-22,8.677316678182299,8.8560153314945,8.8296765572981,8.8560153314945,8.8560153314945,13.36,778.16245894722,1.9617267038662,,,,,,,,,-11.836398871717,,
17,2021-12-07,Moscow Exchange T+,95.88,96.02,14.000000000000057,95.95,95.65,95.65,96.75,96.02,96.08,95.98,,96.02,96.02,96.08,Avg,120106.2,61.0,125.0,6.5,2024-03-22,8.5862394623545,8.6908461857573,8.617587288664701,8.617587288664701,8.617587288664701,13.18,779.22725765805,1.9660586918136,,,,,,,,,-20.520950483865,,
18,2021-12-06,Moscow Exchange T+,95.89,96.02,12.999999999999543,95.955,96.17,95.5,96.39,96.02,95.99,95.96,,96.02,96.02,95.99,Avg,97909.7,69.0,102.0,6.5,2024-03-22,8.6311441154449,8.6834214938577,8.6154767648843,8.6154767648843,8.6154767648843,13.0,780.19531194162,1.9676874619936,,,,,,,,,-13.529500842466,,
19,2021-12-03,Moscow Exchange T+,95.88,95.95,7.000000000000739,95.915,96.17,95.5,96.17,95.95,95.97,95.97,95.97,95.95,95.95,95.97,Avg,633404.2,66.0,660.0,6.5,2024-03-22,8.6346964686275,8.6815990914367,8.6451135984417,8.6451135984417,8.6451135984417,12.47,783.19278453537,1.9751826313437,,,,,,,,,-11.969171289373,,
20,2021-12-02,Moscow Exchange T+,95.31,95.47,15.99999999999966,95.39,96.44,94.8,96.44,95.49,95.48,95.47,,95.49,95.49,95.48,Avg,125082.0,53.0,131.0,6.5,2024-03-22,8.8884576908773,8.9776877985782,8.8936999557877,8.8832162452888,8.8832162452888,12.29,784.01215846994,1.9726411429703,,,,,,,,,14.51785567394,,
21,2021-12-01,Moscow Exchange T+,95.49,95.62,13.000000000000966,95.555,95.85,94.7,95.85,95.62,95.38,95.34,,95.56,95.56,95.38,Avg,238453.7,77.0,250.0,6.5,2024-03-22,8.9384714963932,8.8808346720799,8.8128460049252,8.8128460049252,8.844208242694,12.11,784.97653985753,1.9741608520872,,,,,,,,,21.89112411736,,
22,2021-11-30,Moscow Exchange T+,95.52,95.59,7.000000000000739,95.555,95.64,94.6,95.94,95.64,95.29,95.39,,95.64,95.64,95.29,Avg,284914.2,87.0,299.0,6.5,2024-03-22,8.9832125374329,8.8627764545198,8.8262078136268,8.8001118003522,8.8001118003522,11.93,785.94467108021,1.9757841793414,,,,,,,,,25.970370331145,,
23,2021-11-29,Moscow Exchange T+,95.57,95.64,7.000000000000739,95.605,94.21,94.21,95.64,95.64,95.51,95.39,,95.64,95.64,95.51,Avg,210127.3,80.0,220.0,6.5,2024-03-22,8.8656495346428,8.834332391983999,8.7978327578851,8.7978327578851,8.7978327578851,11.75,787.02839980254,1.9806451350421,,,,,,,,,15.164728466293,,
24,2021-11-26,Moscow Exchange T+,95.47,95.49,1.999999999999602,95.48,94.04,94.04,96.04,95.49,95.47,95.09,,95.49,95.49,95.47,Avg,177583.2,77.0,186.0,6.5,2024-03-22,8.8789376836461,8.8789376836461,8.8685236180666,8.8685236180666,8.8685236180666,11.22,790.01893767323,1.987928511912,,,,,,,,,5.6436827094448,,
25,2021-11-25,Moscow Exchange T+,94.96,95.1,14.000000000000057,95.03,94.04,94.04,95.48,95.1,94.87,94.95,,95.1,95.1,94.87,Avg,300726.7,109.0,317.0,6.5,2024-03-22,9.1901870452072,9.1429596989643,9.0696273157185,9.0696273157185,9.0696273157185,11.04,790.79717932451,1.984214583029,,,,,,,,,35.852672320507,,
26,2021-11-24,Moscow Exchange T+,95.15,95.25,9.999999999999432,95.2,95.84,94.44,95.98,95.15,95.3,95.37,,95.15,95.15,95.3,Avg,360223.3,107.0,378.0,6.5,2024-03-22,8.9627098474751,9.040954475519,8.9887710017479,9.040954475519,9.040954475519,10.86,791.95927564061,1.9912788908687,,,,,,,,,4.7126838098073,,
27,2021-11-23,Moscow Exchange T+,95.43,95.69,25.99999999999909,95.56,95.4,95.31,96.25,95.69,95.61,95.64,,95.68,95.68,95.61,Avg,228513.6,98.0,239.0,6.5,2024-03-22,8.7993334249767,8.892692904601,8.7579242597004,8.7579242597004,8.7630975867469,10.68,793.07561507847,1.9970801620975,,,,,,,,,-20.706348703421,,
28,2021-11-22,Moscow Exchange T+,95.52,95.6,7.999999999999829,95.56,96.18,95.1,96.6,95.6,95.85,95.85,95.85,95.67,95.67,95.85,Avg,593313.2,140.0,619.0,6.5,2024-03-22,8.6726377474919,8.843168159153999,8.8017470268065,8.8017470268065,8.765545826435101,10.51,794.16578835885,2.0021568681261,,,,,,,,,-27.996001045347,,
29,2021-11-19,Moscow Exchange T+,95.19,95.31,12.000000000000457,95.25,94.43,94.43,96.59,95.31,95.18,95.53,,95.31,95.31,95.18,Avg,245554.2,93.0,258.0,6.5,2024-03-22,9.0123711645151,9.0071802168682,8.944952031871601,8.944952031871601,8.944952031871601,9.97,796.92389886504,2.0028489649862,,,,,,,,,34.583129400261,,
30,2021-11-18,Moscow Exchange T+,95.5,95.92,42.00000000000017,95.71,95.04,95.04,95.94,95.92,95.81,95.67,,95.4,95.4,95.81,Avg,321905.5,104.0,336.0,6.5,2024-03-22,8.6848158059831,8.8443871738929,8.6283780617641,8.6283780617641,8.896026158988,9.79,798.15712259828,2.011993880211,,,,,,,,,6.0105557530283,,
31,2021-11-17,Moscow Exchange T+,95.86,95.89,3.0000000000001137,95.875,96.6,95.0,96.6,95.89,95.59,95.83,,95.89,95.89,95.59,Avg,278164.7,94.0,291.0,6.5,2024-03-22,8.7952492199907,8.6565718697686,8.6411991042411,8.6411991042411,8.6411991042411,9.62,799.07852255866,2.0122718977933,,,,,,,,,27.532781520697,,
32,2021-11-16,Moscow Exchange T+,96.13,96.15,2.000000000001023,96.14,95.05,95.05,96.39,96.13,96.12,96.05,,96.14,96.14,96.12,Avg,247997.0,75.0,258.0,6.5,2024-03-22,8.5216639362252,8.5165650032913,8.5063695008355,8.5165650032913,8.511466858230001,9.44,800.27318857975,2.0203609162025,,,,,,,,,0.43137904199426,,
33,2021-11-15,Moscow Exchange T+,96.13,96.15,2.000000000001023,96.14,96.64,95.05,96.64,96.15,96.07,96.09,,96.15,96.15,96.07,Avg,415983.4,140.0,433.0,6.5,2024-03-22,8.5452350764968,8.514662771772501,8.5044783001931,8.5044783001931,8.5044783001931,9.26,801.2564242364,2.0224039116527,,,,,,,,,10.773311392033,,
34,2021-11-12,Moscow Exchange T+,96.11,96.25,14.000000000000057,96.18,96.5,95.09,96.5,96.25,96.15,96.11,,96.2,96.2,96.15,Avg,304806.4,118.0,317.0,6.5,2024-03-22,8.498335794489401,8.5186417186206,8.447625780244799,8.447625780244799,8.472971010007301,8.73,804.28977871987,2.0309377320793,,,,,,,,,10.6233246408,,
35,2021-11-11,Moscow Exchange T+,96.04,96.24,19.999999999998863,96.14,97.81,95.11,97.81,96.24,96.02,96.02,96.02,96.15,96.15,96.02,Avg,590545.8,131.0,615.0,6.5,2024-03-22,8.5624398986294,8.5522821830381,8.4508773272705,8.4508773272705,8.4964707886601,8.55,805.24418688401,2.032147084458,,,,,,,,,27.596597144264,,
36,2021-11-10,Moscow Exchange T+,95.51,95.77,25.99999999999909,95.64,95.01,95.01,96.5,95.55,95.72,95.92,,95.55,95.55,95.72,Avg,417349.7,111.0,436.0,6.5,2024-03-22,8.7130896044212,8.8203177326152,8.687610516068201,8.7998663797206,8.7998663797206,8.37,806.1370018702,2.0315810485272,,,,,,,,,33.186345814317,,
37,2021-11-09,Moscow Exchange T+,96.72,96.97,25.0,96.845,95.02,95.02,97.29,97.07,96.99,96.94,,96.8,96.8,96.99,Avg,249269.2,109.0,257.0,6.5,2024-03-22,8.0705707601245,8.2056814035625,8.0805598270475,8.030645006403999,8.1655903831638,8.19,807.59374716212,2.0473525707331,,,,,,,,,-35.47915002585,,
