,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.35,98.47,12.000000000000457,98.41,97.22,97.22,98.81,98.47,98.37,98.37,98.37,98.47,98.47,98.37,Avg,1577904.4,129,1604,12,2024-04-09,13.467012962197,13.478414847233,13.410058038615,13.410058038615,13.410058038615,25.97,719.62399763529,1.7375733658539,,,,,,,,,511.57304235525,,
1,2021-12-29,Moscow Exchange T+,97.81,98.01,20.000000000000284,97.91,97.01,97.01,98.99,98.01,98.06,98.06,98.06,98.01,98.01,98.06,Avg,1052222.0,107,1073,12,2024-04-09,13.642855506839998,13.786196571756,13.671477830753002,13.671477830753002,13.671477830753002,25.64,720.3975961605,1.7367497811216,,,,,,,,,520.92731798794,,
2,2021-12-28,Moscow Exchange T+,97.79,97.9,10.999999999999943,97.845,97.81,97.1,98.06,97.91,97.84,97.84,97.84,97.86,97.86,97.84,Avg,1417651.9,127,1449,12,2024-04-09,13.766969737384,13.795661822604,13.732569574669002,13.726839428595,13.755499341260998,25.32,721.23774809688,1.7368783179896,,,,,,,,,538.03009072559,,
3,2021-12-27,Moscow Exchange T+,97.51,97.8,28.999999999999204,97.655,98.11,97.5,98.11,97.8,97.86,97.86,97.86,97.8,97.8,97.86,Avg,1526579.2,132,1560,12,2024-04-09,13.754100457087,13.955149146558,13.788485811106,13.788485811106,13.788485811106,24.99,722.25432442439,1.7395232023062,,,,,,,,,534.60483608281,,
4,2021-12-24,Moscow Exchange T+,97.65,97.7,4.999999999999716,97.675,98.04,97.06,98.04,97.65,97.69,97.71,,97.66,97.66,97.69,Avg,452327.2,86,463,12,2024-04-09,13.847163554847,13.870072504162,13.841438613621,13.870072504162,13.864343888678,24.0,725.13444454979,1.7450322424047,,,,,,,,,548.68525232965,,
5,2021-12-23,Moscow Exchange T+,97.7,97.83,12.999999999999543,97.765,97.96,97.31,97.96,97.84,97.74,97.74,97.74,97.84,97.84,97.74,Avg,608894.2,90,623,12,2024-04-09,13.817116411367,13.839982664656,13.765720887831002,13.760014844988,13.760014844988,23.67,726.17315241598,1.7479932270297,,,,,,,,,543.46417939772,,
6,2021-12-22,Moscow Exchange T+,97.24,97.39,15.000000000000568,97.315,97.97,96.73,97.97,97.39,97.35,97.33,,97.29,97.29,97.35,Avg,493539.7,61,507,12,2024-04-09,14.039030956877,14.102276664857,14.016060259624,14.016060259624,14.073514732297,23.34,726.88721921538,1.746307221972,,,,,,,,,562.65498820154,,
7,2021-12-21,Moscow Exchange T+,96.7,96.93,23.0000000000004,96.815,96.14,96.14,96.98,96.7,96.83,96.81,,96.9,96.9,96.83,Avg,484157.3,68,500,12,2024-04-09,14.337034985589,14.412342051539,14.279214140447,14.412342051539,14.296550581265,23.01,727.50304862374,1.743231348947,,,,,,,,,580.76403894741,,
8,2021-12-20,Moscow Exchange T+,96.15,96.56,40.99999999999966,96.355,96.75,95.83,96.75,96.15,96.39,96.29,,96.16,96.16,96.39,Avg,413495.2,72,429,12,2024-04-09,14.59033615731,14.730337125469,14.491498687219002,14.730337125469,14.724492826538,22.68,728.17632997897,1.7409876876871,,,,,,,,,598.68253939705,,
9,2021-12-17,Moscow Exchange T+,95.66,95.8,14.000000000000057,95.73,95.2,95.2,96.0,95.8,95.95,95.95,95.95,95.8,95.8,95.95,Avg,631358.6,75,658,12,2024-04-09,14.839420233079,15.009331422919,14.927204804164,14.927204804164,14.927204804164,21.7,730.85489375717,1.7436017794353,,,,,,,,,614.54828237208,,
10,2021-12-16,Moscow Exchange T+,95.58,95.96,37.999999999999545,95.77,96.22,95.2,96.37,95.2,96.02,96.02,96.02,95.5,95.5,96.02,Avg,518529.4,73,540,12,2024-04-09,14.796125080011,15.053670534385,14.831136064143,15.277594160701,15.100696421686,21.37,731.91077609974,1.7467793460932,,,,,,,,,605.28692228204,,
