,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.16,98.41,25.0,98.285,97.73,97.52,98.79,98.66,98.31,98.31,98.31,98.33,98.33,98.31,Avg,1725278.7,132,1755,7.45,2023-05-24,8.943719035769,9.066663398366,8.8619387828042,8.6581244579013,8.9273513138547,7.35,490.48618147306,1.2334788727189,,,,,,,,,66.98179429829,,
1,2021-12-29,Moscow Exchange T+,97.91,98.23,32.00000000000074,98.07,98.27,97.75,98.34,98.23,98.06,98.06,98.06,98.11,98.11,98.06,Avg,1584570.7,129,1616,7.45,2023-05-24,9.1466000262179,9.2698674224915,9.0072959646981,9.0072959646981,9.1055843200787,7.14,491.4577587446,1.2336248794515,,,,,,,,,80.162632823728,,
2,2021-12-28,Moscow Exchange T+,97.87,97.9,3.0000000000001137,97.885,98.2,97.76,98.35,97.9,97.88,97.88,97.88,97.9,97.9,97.88,Avg,4775717.9,162,4879,7.45,2023-05-24,9.2912696883733,9.2994883993149,9.2748366785578,9.2748366785578,9.2748366785578,6.94,492.43749767235,1.2344479418037,,,,,,,,,100.04239165891,,
3,2021-12-27,Moscow Exchange T+,97.63,97.75,12.000000000000457,97.69,97.41,97.36,98.08,97.75,97.6,97.6,97.6,97.75,97.75,97.6,Avg,9242372.9,222,9470,7.45,2023-05-24,9.5182486092735,9.4935233437478,9.3947551408975,9.3947551408975,9.3947551408975,6.74,493.40572003765,1.2343116425068,,,,,,,,,122.88509276828,,
4,2021-12-24,Moscow Exchange T+,97.39,97.4,1.0000000000005116,97.395,97.4,97.24,98.1,97.4,97.31,97.31,97.31,97.4,97.4,97.31,Avg,7574485.6,137,7784,7.45,2023-05-24,9.7472693742605,9.6813860057292,9.6731572323604,9.6731572323604,9.6731572323604,6.12,496.37367000612,1.2391450564413,,,,,,,,,149.43090530929,,
5,2021-12-23,Moscow Exchange T+,97.24,97.4,16.00000000000108,97.32,98.09,96.24,98.09,97.4,97.2,97.2,97.2,97.39,97.39,97.2,Avg,1807991.3,144,1860,7.45,2023-05-24,9.8337745047121,9.8008167795638,9.6692222227271,9.6692222227271,9.6774358237824,5.92,497.36156766531,1.2406333462584,,,,,,,,,160.78538015073,,
6,2021-12-22,Moscow Exchange T+,97.0,97.14,14.000000000000057,97.07,97.4,96.95,97.4,97.15,97.14,97.14,97.14,97.11,97.11,97.14,Avg,4682160.1,176,4820,7.45,2023-05-24,9.8789457330009,9.9943959750325,9.8789457330009,9.8707103953678,9.9036606232329,5.72,498.35524883266,1.2426009705577,,,,,,,,,165.31635284735,,
7,2021-12-21,Moscow Exchange T+,97.04,97.05,0.9999999999990904,97.045,96.95,96.6,97.4,97.05,97.05,97.05,97.05,97.05,97.05,97.05,Avg,4526496.2,147,4664,7.45,2023-05-24,9.9495284123186,9.9577635326414,9.9495284123186,9.9495284123186,9.9495284123186,5.51,499.34537633835,1.244270479346,,,,,,,,,160.02482775529,,
8,2021-12-20,Moscow Exchange T+,96.99,97.0,1.0000000000005116,96.995,97.99,96.0,98.81,97.0,97.04,97.04,97.04,97.0,97.0,97.04,Avg,4901411.3,188,5051,7.45,2023-05-24,9.9533427387866,9.9944649176582,9.9862375272475,9.9862375272475,9.9862375272475,5.31,500.34484285949,1.2467177027193,,,,,,,,,153.07067879007,,
9,2021-12-17,Moscow Exchange T+,96.72,96.8,7.999999999999829,96.76,97.24,96.14,97.24,96.8,96.79,96.79,96.79,96.8,96.8,96.79,Avg,9208285.6,146,9514,7.45,2023-05-24,10.146702591564,10.20422850178,10.138490509879,10.138490509879,10.138490509879,4.69,503.31780409951,1.2519238937703,,,,,,,,,161.41980748274,,
