,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.1,96.14,4.000000000000625,96.12,96.43,95.91,96.43,96.14,96.19,96.2,,96.14,96.14,96.19,Avg,318404.6,26.0,331.0,7.05,2024-05-29,9.0272501494551,9.07243352134,9.0523442870356,9.0523442870356,9.0523442870356,5.6,819.86421070914,2.0602219297765,,,,,,,,,65.854035373663,,
1,2021-12-29,Moscow Exchange T+,96.0,96.2,20.000000000000284,96.1,96.3,96.01,96.3,96.2,96.06,96.06,96.06,96.07,96.07,96.06,Avg,1049017.6,21.0,1092.0,7.05,2024-05-29,9.0905092309187,9.1206534760038,9.0202809798666,9.0202809798666,9.0854879011568,5.41,820.81633290463,2.0614184376126,,,,,,,,,64.048158206907,,
2,2021-12-28,Moscow Exchange T+,95.99,96.0,1.0000000000005116,95.995,96.43,95.21,96.43,96.0,95.61,95.61,95.61,96.0,96.0,95.61,Avg,1301243.3,48.0,1361.0,7.05,2024-05-29,9.3150182623039,9.12362455358,9.1186030322094,9.1186030322094,9.1186030322094,5.22,821.64633172549,2.05926493553,,,,,,,,,90.932649743032,,
3,2021-12-27,Moscow Exchange T+,95.5,95.64,14.000000000000057,95.57,96.47,95.29,96.47,95.64,95.32,95.32,95.32,95.64,95.64,95.32,Avg,5128082.2,42.0,5380.0,7.05,2024-05-29,9.4599476192693,9.3688318498979,9.2981396424311,9.2981396424311,9.2981396424311,5.02,822.53652237776,2.0587664875207,,,,,,,,,102.74676634329,,
4,2021-12-24,Moscow Exchange T+,95.98,95.99,0.9999999999990904,95.985,96.47,94.87,96.47,95.99,95.04,95.04,95.04,95.99,95.99,95.04,Avg,8914614.0,62.0,9380.0,7.05,2024-05-29,9.5950983342786,9.121472643857,9.116470993489,9.116470993489,9.116470993489,4.44,825.43407483849,2.0634711343,,,,,,,,,121.47355463185,,
5,2021-12-23,Moscow Exchange T+,96.46,96.47,1.0000000000005116,96.465,96.47,94.68,96.48,96.46,94.74,94.74,94.74,96.46,96.46,94.74,Avg,4946494.2,27.0,5221.0,7.05,2024-05-29,9.7450412276914,8.8804787638804,8.8755190052836,8.8804787638804,8.8804787638804,4.25,826.32036123531,2.0628644131152,,,,,,,,,132.51415980778,,
6,2021-12-22,Moscow Exchange T+,96.0,96.35,34.99999999999943,96.175,96.36,94.96,96.37,96.35,94.97,94.97,94.97,96.35,96.35,94.97,Avg,4799876.2,27.0,5054.0,7.05,2024-05-29,9.6255447410736,9.1074424710018,8.9332556444165,8.9332556444165,8.9332556444165,4.06,827.41098943752,2.0678386852906,,,,,,,,,116.3181385474,,
7,2021-12-21,Moscow Exchange T+,96.05,96.2,15.000000000000568,96.125,96.47,94.68,96.49,96.2,94.73,94.73,94.73,96.2,96.2,94.73,Avg,4864289.0,23.0,5135.0,7.05,2024-05-29,9.7453069755649,9.0810213274692,9.006388290768,9.006388290768,9.006388290768,3.86,828.3201596477,2.067851795166,,,,,,,,,116.98036195203,,
8,2021-12-20,Moscow Exchange T+,96.0,96.47,46.999999999999886,96.235,96.47,94.21,96.47,96.47,94.43,94.43,94.43,96.46,96.46,94.43,Avg,4765125.0,45.0,5046.0,7.05,2024-05-29,9.8953782876501,9.1039398564525,8.8707237936031,8.8707237936031,8.875668345137,3.67,829.20629259298,2.067237127982,,,,,,,,,125.28179275098,,
9,2021-12-17,Moscow Exchange T+,95.51,96.2,68.99999999999977,95.855,94.82,94.39,96.49,96.19,94.41,94.41,94.41,96.19,96.19,94.41,Avg,4755313.1,43.0,5037.0,7.05,2024-05-29,9.8976725668401,9.3426785153159,8.999341374009399,9.0042912811139,9.0042912811139,3.09,832.2045513677,2.0746685678114,,,,,,,,,117.81626591171,,
