,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.14,98.71,56.99999999999932,98.425,98.82,96.25,98.82,98.72,97.72,98.11,,98.72,98.72,97.72,Avg,98692.7,24,101,7.5,2026-06-19,8.2834221881203,8.1635838654465,8.0020483764536,7.9992256570624,7.9992256570624,1.23,1411.6323762184,3.57163255842,,,,,,,,,-13.535204514848,,
1,2021-12-29,Moscow Exchange T+,97.99,98.0,1.0000000000005116,97.995,98.74,97.57,98.74,98.0,98.1,98.28,,98.0,98.0,98.1,Avg,23544.3,15,24,7.5,2026-06-19,8.1746417476401,8.205962311618,8.2031130277218,8.2031130277218,8.2031130277218,1.03,1413.1406030545,3.5790440606149,,,,,,,,,-30.127744259299,,
2,2021-12-28,Moscow Exchange T+,97.52,98.53,101.00000000000053,98.025,98.53,97.42,98.56,98.55,98.29,98.32,,98.55,98.55,98.29,Avg,120892.7,25,123,7.5,2026-06-19,8.1206412449224,8.3402016228548,8.0526807133705,8.0470274157178,8.0470274157178,0.82,1414.392687721,3.5840043259932,,,,,,,,,-32.636438445004,,
3,2021-12-27,Moscow Exchange T+,97.47,98.47,100.0,97.97,98.59,97.67,98.59,98.47,98.35,98.47,,98.47,98.47,98.35,Avg,61962.4,29,63,7.5,2026-06-19,8.103343767022201,8.3541260165997,8.0693807485219,8.0693807485219,8.0693807485219,0.62,1415.4734064429,3.5873167263705,,,,,,,,,-37.282031914109,,
4,2021-12-24,Moscow Exchange T+,98.2,98.59,39.00000000000006,98.395,97.28,97.28,98.92,98.6,98.28,98.51,,98.57,98.57,98.28,Avg,301710.5,51,307,7.5,2026-06-19,8.1228676670845,8.1455287404474,8.0352904532298,8.032471566879,8.040929382883801,,1418.3822970665,3.594039799275,,,,,,,,,-29.850215559894,,
5,2021-12-23,Moscow Exchange T+,97.25,98.89,164.00000000000006,98.07,99.96,96.0,99.96,98.89,97.75,97.75,97.75,98.89,98.89,97.75,Avg,635381.3,95,650,7.5,2026-06-19,8.2731493918432,8.416158125241099,7.9507481828852,7.9507481828852,7.9507481828852,37.19,1366.4381324016,3.457612655766,,,,,,,,,-22.188922769147,,
6,2021-12-22,Moscow Exchange T+,97.04,98.37,132.99999999999983,97.705,98.42,96.0,98.42,96.0,97.67,94.36,,96.0,96.0,97.67,Avg,176780.4,44,181,7.5,2026-06-19,8.2953552401826,8.4758108696843,8.0966819054671,8.777193054935099,8.777193054935099,36.99,1367.2980649005,3.4590791888625,,,,,,,,,-26.21227301315,,
7,2021-12-21,Moscow Exchange T+,97.45,97.99,53.9999999999992,97.72,97.93,95.68,98.2,97.99,98.03,94.22,,97.99,97.99,98.03,Avg,54895.7,12,56,7.5,2026-06-19,8.192673369414399,8.3578372824031,8.204021621688,8.204021621688,8.204021621688,36.78,1368.9454564791,3.4665337128671,,,,,,,,,-45.063066617264,,
8,2021-12-20,Moscow Exchange T+,97.12,97.98,85.99999999999994,97.55,98.33,95.66,98.33,97.07,97.92,94.16,,97.07,97.07,97.92,Avg,79318.9,10,81,7.5,2026-06-19,8.2233293594615,8.4517125444411,8.2063021330777,8.466070734275299,8.466070734275299,36.58,1369.7522541276,3.4675942090589,,,,,,,,,-43.500805806763,,
9,2021-12-17,Moscow Exchange T+,97.75,97.76,1.0000000000005116,97.755,98.34,95.88,98.34,97.75,97.25,94.09,,97.75,97.75,97.25,Avg,68072.8,23,70,7.5,2026-06-19,8.4130018961942,8.270451108930601,8.2676101295671,8.270451108930601,8.270451108930601,35.96,1371.5554035875,3.4660842993942,,,,,,,,,-25.998976673716,,
