,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.89,98.9,1.0000000000005116,98.895,99.95,98.89,99.95,98.9,99.02,99.02,99.02,98.9,98.9,99.02,Avg,5316597.4,74,5369,8.3,2023-07-10,9.2993785370676,9.3985310575219,9.3908959740395,9.3908959740395,9.3908959740395,18.19,519.29336052576,1.3016739479489,,,,,,,,,101.07884914101,,
1,2021-12-29,Moscow Exchange T+,99.75,99.95,20.000000000000284,99.85,99.92,99.4,99.95,99.95,99.73,99.73,99.73,99.95,99.95,99.73,Avg,791817.8,56,794,8.3,2023-07-10,8.7615084563271,8.7464858796527,8.5965445826009,8.5965445826009,8.5965445826009,17.96,520.47690730162,1.3110926373057,,,,,,,,,39.90061861081,,
2,2021-12-28,Moscow Exchange T+,99.44,99.54,10.000000000000853,99.49,99.44,99.41,99.6,99.44,99.51,99.93,,99.46,99.46,99.51,Avg,235844.7,39,237,8.3,2023-07-10,8.9257969809236,8.9785266590313,8.9032180647852,8.9785266590313,8.9634545261494,17.74,521.42084648145,1.3114893844503,,,,,,,,,61.637676707623,,
3,2021-12-27,Moscow Exchange T+,99.49,99.5,1.0000000000005116,99.495,99.01,98.83,99.99,99.5,99.93,99.93,99.93,99.5,99.5,99.93,Avg,4174223.6,79,4177,8.3,2023-07-10,8.6107431609692,8.9402881759886,8.9327707170146,8.9327707170146,8.9327707170146,17.51,522.5283517884,1.3180874044163,,,,,,,,,29.887373093494,,
4,2021-12-24,Moscow Exchange T+,99.19,99.4,21.000000000000796,99.295,99.35,99.14,99.41,99.4,99.33,99.33,99.33,99.37,99.37,99.33,Avg,500604.6,53,504,8.3,2023-07-10,9.0577185618848,9.1628554602264,9.0052453543752,9.0052453543752,9.0277261099131,16.83,525.37582892809,1.3198385695763,,,,,,,,,78.375102472102,,
5,2021-12-23,Moscow Exchange T+,99.16,99.35,18.999999999999773,99.255,98.76,98.76,99.36,99.35,99.18,99.18,99.18,99.32,99.32,99.18,Avg,520709.3,41,525,8.3,2023-07-10,9.1694419562153,9.1844595960081,9.042001247963,9.042001247963,9.0644636183543,16.6,526.33770292809,1.3209017817375,,,,,,,,,91.606832927835,,
6,2021-12-22,Moscow Exchange T+,99.27,99.41,14.000000000000057,99.34,99.24,98.5,100.0,99.41,99.96,99.96,99.96,99.41,99.41,99.96,Avg,5566744.6,43,5569,8.3,2023-07-10,8.5878214035525,9.1011144463732,8.9964747173453,8.9964747173453,8.9964747173453,16.37,527.53617304178,1.3310006269532,,,,,,,,,33.101351723299,,
7,2021-12-21,Moscow Exchange T+,98.97,99.24,26.9999999999996,99.105,99.59,98.74,99.59,99.3,99.18,99.2,,99.3,99.3,99.18,Avg,474092.7,86,478,8.3,2023-07-10,9.1668500763208,9.324262650147,9.1219797963546,9.0771559268507,9.0771559268507,16.15,528.33858741781,1.3259546998149,,,,,,,,,78.739383724108,,
8,2021-12-20,Moscow Exchange T+,99.0,99.23,23.0000000000004,99.115,99.59,98.3,99.6,99.27,99.1,99.1,99.1,99.27,99.27,99.1,Avg,928554.6,48,937,8.3,2023-07-10,9.2257399114616,9.3006052583975,9.1286079410589,9.098764960632,9.098764960632,15.92,529.31849070315,1.3276977083768,,,,,,,,,77.10839565419,,
9,2021-12-17,Moscow Exchange T+,98.92,98.98,6.000000000000227,98.95,98.5,98.02,98.99,98.99,98.36,98.36,98.36,98.99,98.99,98.36,Avg,4950344.2,58,5033,8.3,2023-07-10,9.776306088823,9.3561894860417,9.311417803217,9.3039603611811,9.3039603611811,15.24,532.13059290058,1.3280571074822,,,,,,,,,121.30121421279,,
