,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.54,99.42,187.99999999999957,98.48,90.28,90.28,99.89,99.49,94.86,95.78,,99.49,99.49,94.86,Avg,29408.0,9.0,31.0,7.7,2026-07-17,9.3095803852452,8.5332336200127,8.0056247704533,7.9862401384245,7.9862401384245,33.75,1375.845978787,3.4484086614255,,,,,,,,,89.271447123248,,
1,2021-12-29,Moscow Exchange T+,95.92,99.06,314.00000000000006,97.49,,,,,,95.79,,99.2,99.2,95.79,Market,,,,7.7,2026-07-17,9.0361235042955,8.9983053228332,8.1053665344438,,8.066445969082201,33.54,1378.609561283,3.4640010808133,,,,,,,,,56.060900795722,,
2,2021-12-28,Moscow Exchange T+,96.51,99.2,268.9999999999998,97.855,95.69,95.5,99.94,99.2,97.66,95.79,,99.2,99.2,97.66,Avg,5859.4,6.0,6.0,7.7,2026-07-17,8.4982545286934,8.8269186337441,8.0662254942444,8.0662254942444,8.0662254942444,33.33,1383.0632412069,3.492419648529,,,,,,,,,5.2554417905865,,
3,2021-12-27,Moscow Exchange T+,96.03,99.45,342.00000000000017,97.74,95.51,95.51,99.52,99.49,99.42,95.78,,99.49,99.49,99.42,Avg,108364.5,8.0,109.0,7.7,2026-07-17,8.0050584991442,8.9649821961298,7.996761497055401,7.9857040767026,7.9857040767026,33.12,1387.2122570633,3.5188921509921,,,,,,,,,-47.046382092729,,
4,2021-12-24,Moscow Exchange T+,95.51,99.89,437.99999999999955,97.7,100.18,95.51,100.19,95.51,96.12,95.6,,95.51,95.51,96.12,Avg,22107.7,7.0,23.0,7.7,2026-07-17,8.9369007422757,9.1139935156977,7.875106630465099,9.1139935156977,9.1139935156977,32.49,1384.2481901834,3.4813371494709,,,,,,,,,51.731755786905,,
5,2021-12-23,Moscow Exchange T+,95.82,97.99,217.00000000000017,96.905,,,,,,95.59,,95.72,95.72,95.59,Market,,,,7.7,2026-07-17,9.0899364500653,9.0230951036303,8.4029487591175,,9.0521298804619,32.28,1384.2629187087,3.4764903808364,,,,,,,,,59.403031364342,,
6,2021-12-22,Moscow Exchange T+,97.51,97.7,18.999999999999773,97.605,,,,,,95.59,,95.72,95.72,95.59,Market,,,,7.7,2026-07-17,9.0891940445846,8.5380601853977,8.484318318263801,,9.0514071221115,32.07,1385.2677023676,3.4790375090115,,,,,,,,,53.137926930436,,
7,2021-12-21,Moscow Exchange T+,96.01,99.98,396.9999999999999,97.995,100.5,95.72,100.5,95.72,98.11,95.59,,95.72,95.72,98.11,Avg,1962.2,2.0,2.0,7.7,2026-07-17,8.3687420538363,8.9669748896033,7.8503937543263,9.0509769602481,9.0509769602481,31.85,1390.8918254454,3.5163853185392,,,,,,,,,-27.374263045833,,
8,2021-12-20,Moscow Exchange T+,95.63,99.7,407.00000000000074,97.665,97.61,97.61,99.75,99.7,99.4,95.59,,99.7,99.7,99.4,Avg,46716.6,8.0,47.0,7.7,2026-07-17,8.0095769900466,9.0763847578623,7.9270341757038,7.9270341757038,7.9270341757038,31.64,1394.1834847758,3.5364278674657,,,,,,,,,-64.597873023549,,
9,2021-12-17,Moscow Exchange T+,95.99,97.53,154.00000000000065,96.76,97.65,95.69,97.65,95.69,96.34,95.5,95.5,95.69,95.69,96.34,Avg,2890.3,3.0,3.0,7.7,2026-07-17,8.8693139133902,8.9700599590791,8.5304404582959,9.0568095265465,9.0568095265465,31.01,1391.6828087731,3.5022078086302,,,,,,,,,20.006045473155,,
