,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.39,99.65,26.00000000000051,99.52,99.63,99.25,99.65,99.65,99.54,99.54,99.54,99.65,99.65,99.54,Avg,2804963.0,77,2818,6.65,2022-08-01,7.6642577212462,7.944402695008999,7.459548672135,7.459548672135,7.459548672135,10.75,209.55753816199,0.53325983357094,,,,,,,,,-23.213008151161,,
1,2021-12-29,Moscow Exchange T+,99.2,99.31,10.999999999999943,99.255,99.4,99.16,99.4,99.3,99.21,99.21,99.21,99.3,99.3,99.21,Avg,3600337.8,58,3629,6.65,2022-08-01,8.274876645521,8.2935995081961,8.08792992801,8.1066015632764,8.1066015632764,10.57,210.54736638029,0.53275710630505,,,,,,,,,32.791922816435,,
2,2021-12-28,Moscow Exchange T+,99.2,99.4,20.000000000000284,99.3,99.38,98.95,99.41,99.2,99.3,99.3,99.3,99.23,99.23,99.3,Avg,1770604.3,81,1783,6.65,2022-08-01,8.1020853753086,8.2882260533579,7.916452317853,8.2882260533579,8.2323304367042,10.38,211.55024141624,0.53615034390691,,,,,,,,,22.03501062405,,
3,2021-12-27,Moscow Exchange T+,99.09,99.25,15.99999999999966,99.17,98.81,98.81,99.46,99.25,99.16,99.16,99.16,99.25,99.25,99.16,Avg,3483333.9,93,3513,6.65,2022-08-01,8.3553108070514,8.485454086751,8.1883483243161,8.1883483243161,8.1883483243161,10.2,212.54602895198,0.53741517900917,,,,,,,,,51.899788905797,,
4,2021-12-24,Moscow Exchange T+,98.93,98.99,5.999999999998806,98.96,99.26,98.9,99.26,98.99,99.01,99.01,99.01,98.99,98.99,99.01,Avg,1976334.5,85,1996,6.65,2022-08-01,8.6086101245405,8.7559398843174,8.6454126346485,8.6454126346485,8.6454126346485,9.66,215.54182090658,0.54371889673683,,,,,,,,,81.185440673232,,
5,2021-12-23,Moscow Exchange T+,98.9,99.03,12.999999999999543,98.965,99.04,98.9,99.15,98.94,99.06,99.06,99.06,98.94,98.94,99.06,Avg,2768719.2,65,2795,6.65,2022-08-01,8.5104795331479,8.8037361326437,8.565368648269601,8.7303030844518,8.7303030844518,9.47,216.54345047478,0.54673956827086,,,,,,,,,75.780202671094,,
6,2021-12-22,Moscow Exchange T+,98.86,99.02,15.99999999999966,98.94,98.83,98.83,99.2,98.86,98.92,98.92,98.92,98.86,98.86,98.92,Avg,3597577.8,81,3637,6.65,2022-08-01,8.7578880579487,8.8676305205231,8.575377904746901,8.8676305205231,8.8676305205231,9.29,217.5393435989,0.54800457445741,,,,,,,,,99.47012105693,,
7,2021-12-21,Moscow Exchange T+,98.9,99.01,10.999999999999943,98.955,99.34,98.78,99.34,99.05,98.85,98.85,98.85,99.02,99.02,98.85,Avg,6245266.0,46,6318,6.65,2022-08-01,8.8763327633387,8.7852538583169,8.5853107115199,8.512750493379,8.5671633487782,9.11,218.53737936501,0.54991983198678,,,,,,,,,97.993620947505,,
8,2021-12-20,Moscow Exchange T+,98.93,99.0,6.999999999999318,98.965,99.0,98.89,99.01,99.0,98.96,98.96,98.96,99.0,99.0,98.96,Avg,2219711.9,42,2243,6.65,2022-08-01,8.6675022572934,8.7218037769216,8.5951681125831,8.5951681125831,8.5951681125831,8.93,219.54084334236,0.55350656828173,,,,,,,,,75.02521907984,,
9,2021-12-17,Moscow Exchange T+,98.78,98.79,1.0000000000005116,98.785,98.71,98.6,99.0,98.79,98.82,98.82,98.82,98.79,98.79,98.82,Avg,1802391.7,72,1824,6.65,2022-08-01,8.8943755411865,8.9661012868167,8.9481626864767,8.9481626864767,8.9481626864767,8.38,222.53708025916,0.55989175548962,,,,,,,,,89.350026858787,,
10,2021-12-16,Moscow Exchange T+,98.72,98.8,7.999999999999829,98.76,98.78,98.66,98.8,98.8,98.72,98.72,98.72,98.8,98.8,98.72,Avg,2503424.9,40,2536,6.65,2022-08-01,9.0636564871168,9.0636564871168,8.920681666899801,8.920681666899801,8.920681666899801,8.2,223.53427537385,0.56152772791866,,,,,,,,,90.001215272692,,
11,2021-12-15,Moscow Exchange T+,98.65,98.69,3.999999999999204,98.67,98.74,98.58,98.75,98.69,98.72,98.72,98.72,98.69,98.69,98.72,Avg,836183.0,38,847,6.65,2022-08-01,9.0535770568665,9.17838203947,9.1070365353452,9.1070365353452,9.1070365353452,8.02,224.53444231403,0.56409232256003,,,,,,,,,84.603729619862,,
12,2021-12-14,Moscow Exchange T+,98.57,98.69,12.000000000000457,98.63,98.76,98.51,98.76,98.69,98.56,98.56,98.56,98.69,98.69,98.56,Avg,6818482.6,40,6918,6.65,2022-08-01,9.3297415777685,9.3119328733055,9.0985957774011,9.0985957774011,9.0985957774011,7.83,225.52987154625,0.56516191304751,,,,,,,,,99.471664590752,,
13,2021-12-13,Moscow Exchange T+,98.73,98.74,0.9999999999990904,98.735,98.99,98.56,99.0,98.74,98.67,98.67,98.67,98.74,98.74,98.67,Avg,4047247.4,67,4102,6.65,2022-08-01,9.1238247373791,9.0178142850515,9.0001621828495,9.0001621828495,9.0001621828495,7.65,226.5332790232,0.56874758752742,,,,,,,,,90.182258656263,,
14,2021-12-10,Moscow Exchange T+,98.6,98.74,14.000000000000057,98.67,98.69,98.56,98.89,98.64,98.73,98.73,98.73,98.67,98.67,98.73,Avg,1847161.7,72,1871,6.65,2022-08-01,8.9889082987489,9.2158647465598,8.9714820879582,9.1459496658199,9.093561414604,7.11,229.53551359865,0.57699855025104,,,,,,,,,66.886307535543,,
15,2021-12-09,Moscow Exchange T+,98.61,98.68,7.000000000000739,98.645,98.48,98.1,98.76,98.67,98.47,98.47,98.47,98.67,98.67,98.47,Avg,1560735.1,82,1585,6.65,2022-08-01,9.4339540874114,9.1897749356378,9.0680201236948,9.0854000374838,9.0854000374838,6.92,230.52814845851,0.57713711767648,,,,,,,,,112.80553958177,,
16,2021-12-08,Moscow Exchange T+,98.55,98.77,21.999999999999886,98.66,99.55,98.5,99.55,98.74,98.62,98.62,98.62,98.74,98.74,98.62,Avg,5286812.8,73,5361,6.65,2022-08-01,9.1621849576021,9.2836144939263,8.9027236478393,8.9545348408768,8.9545348408768,6.74,231.53264396502,0.5810950111611,,,,,,,,,75.464659597397,,
17,2021-12-07,Moscow Exchange T+,98.58,98.78,20.000000000000284,98.68,98.71,98.52,98.99,98.78,98.59,98.59,98.59,98.78,98.78,98.59,Avg,6840325.4,123,6938,6.65,2022-08-01,9.2038912363743,9.2211651927507,8.876537927105401,8.876537927105401,8.876537927105401,6.56,232.53195365795,0.5833801693561,,,,,,,,,73.134417700388,,
18,2021-12-06,Moscow Exchange T+,98.74,98.75,1.0000000000005116,98.745,99.53,98.7,99.53,98.75,98.83,98.83,98.83,98.75,98.75,98.83,Avg,1295697.7,49,1311,6.65,2022-08-01,8.7821780412415,8.936190768369299,8.9190605075083,8.9190605075083,8.9190605075083,6.38,233.53894068406,0.58817788513146,,,,,,,,,35.180909948493,,
19,2021-12-03,Moscow Exchange T+,98.75,98.76,1.0000000000005116,98.755,99.48,98.69,99.48,98.76,98.85,98.85,98.85,98.76,98.76,98.85,Avg,1336418.2,74,1352,6.65,2022-08-01,8.725131600549,8.8940769059454,8.8771628220371,8.8771628220371,8.8771628220371,5.83,236.53988703324,0.59604847148266,,,,,,,,,41.420416911476,,
