,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,77.5,77.81,31.000000000000227,77.655,78.95,76.6,79.0,77.5,78.91,77.44,77.44,77.63,77.63,78.91,Avg,21456844.5,311,27707,,2025-02-28,7.765546189477,8.3807911991312,8.2442679806265,8.3807911991312,8.3234522014093,,1156,2.9389015317592,,,,,,,,,-63.749847627512,,
1,2021-12-29,Moscow Exchange T+,77.21,77.3,9.000000000000341,77.255,77.51,77.2,78.08,77.3,77.41,77.41,77.41,77.3,77.3,77.41,Avg,5682141.8,124,7340,,2025-02-28,8.4129857861231,8.5014999162763,8.4616312776231,8.4616312776231,8.4616312776231,,1157,2.9238776062788,,,,,,,,,-5.8364678004603,,
2,2021-12-28,Moscow Exchange T+,77.46,77.5,4.000000000000625,77.48,78.41,77.5,78.41,77.5,77.6,77.65,77.65,77.5,77.5,77.6,Avg,24248321.8,125,31226,,2025-02-28,8.3216915379481,8.3833626397944,8.3657273751948,8.3657273751948,8.3657273751948,,1158,2.9288711196082,,,,,,,,,-11.353940690835,,
3,2021-12-27,Moscow Exchange T+,77.74,77.75,1.0000000000005116,77.745,77.03,77.03,77.83,77.75,77.74,77.74,77.74,77.75,77.75,77.74,Avg,3474032.4,57,4469,,2025-02-28,8.252753306902399,8.252753306902399,8.2483683319582,8.2483683319582,8.2483683319582,,1159,2.9332671629618,,,,,,,,,-21.484841420972,,
4,2021-12-24,Moscow Exchange T+,77.66,77.7,4.000000000000625,77.68,77.51,77.51,78.55,77.7,77.72,77.7,77.7,77.7,77.7,77.72,Avg,3028726.2,57,3898,,2025-02-28,8.2393407635564,8.2656017299697,8.248091457988501,8.248091457988501,8.248091457988501,,1162,2.9412241624697,,,,,,,,,-16.910203317681,,
5,2021-12-23,Moscow Exchange T+,77.64,77.7,6.000000000000227,77.67,78.19,77.6,78.25,77.7,77.76,77.76,77.76,77.7,77.7,77.76,Avg,4992766.3,54,6421,,2025-02-28,8.2144960120241,8.266960345530599,8.2407148718411,8.2407148718411,8.2407148718411,,1163,2.9444311873975,,,,,,,,,-26.638714075261,,
6,2021-12-22,Moscow Exchange T+,77.68,77.7,1.999999999999602,77.69,78.97,77.7,78.97,77.7,77.75,77.75,77.75,77.7,77.7,77.75,Avg,3449974.7,50,4437,,2025-02-28,8.211520821160398,8.242088885331,8.2333514616244,8.2333514616244,8.2333514616244,,1164,2.9470439669367,,,,,,,,,-33.328419768765,,
7,2021-12-21,Moscow Exchange T+,77.71,77.86,15.000000000000568,77.785,78.98,77.59,78.98,77.71,77.83,77.89,77.89,77.71,77.71,77.83,Avg,593490.1,29,762,,2025-02-28,8.1693323809145,8.221637633293,8.1562726145683,8.221637633293,8.221637633293,,1165,2.9507261916696,,,,,,,,,-47.231253119232,,
8,2021-12-20,Moscow Exchange T+,77.7,77.98,28.000000000000114,77.84,78.0,77.6,78.0,77.98,77.68,77.67,77.67,77.98,77.98,77.68,Avg,559236.1,53,720,,2025-02-28,8.2273852805448,8.2186640280948,8.0968751406275,8.0968751406275,8.0968751406275,,1166,2.9516748830848,,,,,,,,,-44.736856178889,,
9,2021-12-17,Moscow Exchange T+,77.96,78.0,4.000000000000625,77.98,77.99,77.8,78.0,78.0,77.89,77.83,,78.0,78.0,77.89,Avg,312714.4,19,401,,2025-02-28,8.1142545438902,8.0839350696536,8.066625690411499,8.066625690411499,8.066625690411499,,1169,2.9623658226559,,,,,,,,,-59.34525220573,,
