,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.27,96.78,51.00000000000051,96.525,97.98,94.78,97.98,96.78,96.7,96.7,96.7,96.78,96.78,96.7,Avg,5441123.9,54,5627,8.55,2031-08-08,,,,,,30.92,,,2025-02-19,10.031907887364,10.206772901379,9.9994968201915,9.9994968201915,9.9994968201915,992.78934253749,2.471983676096,164.25345045046,,
1,2021-12-29,Moscow Exchange T+,96.49,96.5,1.0000000000005116,96.495,94.21,94.16,96.48,96.48,95.98,95.98,95.98,96.48,96.48,95.98,Avg,6660982.6,57,6940,8.55,2031-08-08,,,,,,30.69,,,2025-02-19,10.323831858089,10.115831760778,10.111768960178,10.11989516007,10.11989516007,993.07468953746,2.4661512641937,185.89850328448,,
2,2021-12-28,Moscow Exchange T+,95.4,95.47,6.999999999999318,95.435,95.68,94.79,95.69,95.4,95.41,95.49,,95.4,95.4,95.41,Avg,366383.7,58,384,8.55,2031-08-08,,,,,,30.45,,,2025-02-19,10.556901136473,10.561026897352,10.532159480578,10.561026897352,10.561026897352,993.50318607727,2.4620141386181,213.2279882031,,
3,2021-12-27,Moscow Exchange T+,95.26,95.69,42.99999999999926,95.475,95.45,94.58,95.69,95.69,95.31,95.31,95.31,95.65,95.65,95.31,Avg,1340960.9,67,1407,8.55,2031-08-08,,,,,,30.22,,,2025-02-19,10.596477060526,10.617126467017,10.440043418875,10.440043418875,10.456468488793,994.40606105041,2.4633697561365,214.02983791525,,
4,2021-12-24,Moscow Exchange T+,94.82,95.0,18.000000000000682,94.91,94.31,94.31,95.45,95.45,95.27,94.69,,95.44,95.44,95.27,Avg,353419.5,27,372,8.55,2031-08-08,,,,,,29.52,,,2025-02-19,10.608274268831,10.794348439516,10.719768413353,10.534194073318,10.53830442875,997.37710440807,2.4704661836017,220.95680274098,,
5,2021-12-23,Moscow Exchange T+,94.23,94.5,26.9999999999996,94.365,93.96,93.81,95.53,94.23,94.65,94.1,,94.23,94.23,94.65,Avg,427401.9,71,454,8.55,2031-08-08,,,,,,29.28,,,2025-02-19,10.863483548426,11.038601142473,10.925898489124,11.038601142473,11.038601142473,997.7501693699,2.4657010770086,240.37401330123,,
6,2021-12-22,Moscow Exchange T+,93.81,93.96,14.999999999999147,93.885,93.89,93.04,93.97,93.81,93.94,93.77,93.77,93.81,93.81,93.94,Avg,537326.9,55,573,8.55,2031-08-08,,,,,,29.05,,,2025-02-19,11.158034408366,11.21265871059,11.149640210594,11.21265871059,11.21265871059,998.02536897127,2.4598456548163,264.10137092385,,
7,2021-12-21,Moscow Exchange T+,93.31,93.85,53.9999999999992,93.58,92.02,90.57,93.83,93.65,92.98,92.98,92.98,93.69,93.69,92.98,Avg,6143485.1,56,6607,8.55,2031-08-08,,,,,,28.81,,,2025-02-19,11.561951451956,11.421849850514,11.194106219856,11.278237931195,11.261391160317,998.02933640988,2.4509493725069,293.98049603092,,
8,2021-12-20,Moscow Exchange T+,91.69,92.58,89.00000000000006,92.135,93.97,86.34,93.97,92.02,92.78,92.88,,92.02,92.02,92.78,Avg,378522.8,60,408,8.55,2031-08-08,,,,,,28.58,,,2025-02-19,11.644701826894,12.113608733074,11.730150954584,11.970812286036,11.970812286036,998.82497892345,2.4510852255345,297.21733019936,,
9,2021-12-17,Moscow Exchange T+,92.82,92.84,2.000000000001023,92.83,93.97,92.82,93.97,92.84,93.09,93.09,93.09,92.84,92.84,93.09,Avg,888067.4,39,954,8.55,2031-08-08,,,,,,27.88,,,2025-02-19,11.506038240602,11.620640292413,11.612135004945,11.612135004945,11.612135004945,1002.1673600099,2.4623455763918,278.02149767654,,
