,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.55,98.0,45.00000000000029,97.775,99.4,97.32,99.4,98.0,97.86,97.86,97.86,98.0,98.0,97.86,Avg,700659.7,31,716,8.02,2024-09-19,9.1124577762107,9.2510291070826,9.0500856628702,9.0500856628702,9.0500856628702,21.53,892.89031504747,2.2419757428284,,,,,,,,,73.39358683698,,
1,2021-12-29,Moscow Exchange T+,97.78,97.79,1.0000000000005116,97.785,97.69,97.34,97.79,97.79,97.66,97.66,97.66,97.79,97.79,97.66,Avg,1083088.2,29,1109,8.02,2024-09-19,9.2008609573173,9.1472811713261,9.142820493064,9.142820493064,9.142820493064,21.31,893.76048713162,2.2423439223715,,,,,,,,,74.30565515896,,
2,2021-12-28,Moscow Exchange T+,97.31,97.4,9.000000000000341,97.355,99.35,97.4,99.35,97.4,97.46,97.46,97.46,97.41,97.41,97.46,Avg,736808.8,18,756,8.02,2024-09-19,9.2893714187134,9.3566193833212,9.3162525850856,9.3162525850856,9.3117707236401,21.09,894.63044447279,2.2427087664669,,,,,,,,,87.412877353226,,
3,2021-12-27,Moscow Exchange T+,97.35,97.54,19.000000000001194,97.445,97.1,97.1,97.6,97.54,97.3,97.3,97.3,97.59,97.59,97.3,Avg,1986882.8,27,2042,8.02,2024-09-19,9.3600456376544,9.3376299648575,9.2526023787969,9.2526023787969,9.2302665920141,20.87,895.52656639764,2.2435044059094,,,,,,,,,91.5385903386,,
4,2021-12-24,Moscow Exchange T+,96.87,97.47,59.99999999999943,97.17,99.39,96.69,99.39,97.48,96.82,96.82,96.82,97.48,97.48,96.82,Avg,2419616.4,16,2499,8.02,2024-09-19,9.5723435797134,9.5498279412258,9.280947173095,9.2764861533994,9.2764861533994,20.21,898.2143087782,2.2458779647713,,,,,,,,,118.24908596332,,
5,2021-12-23,Moscow Exchange T+,96.54,97.59,104.99999999999972,97.065,96.42,96.27,97.6,96.51,96.53,96.53,96.53,96.51,96.51,96.53,Avg,644847.7,17,668,8.02,2024-09-19,9.7014585113731,9.6969385700704,9.2260862386164,9.710500429652,9.710500429652,20.0,899.02424036523,2.2452573958571,,,,,,,,,126.16555147189,,
6,2021-12-22,Moscow Exchange T+,96.7,96.99,28.999999999999204,96.845,96.15,96.15,96.99,96.98,96.44,96.44,96.44,96.98,96.98,96.44,Avg,3307984.7,27,3430,8.02,2024-09-19,9.740780637268,9.6234297361945,9.4930763636537,9.4975619062994,9.4975619062994,19.78,899.96633073436,2.2468048484583,,,,,,,,,125.11845773512,,
7,2021-12-21,Moscow Exchange T+,96.1,96.98,88.00000000000097,96.54,96.03,96.03,96.98,96.98,96.07,96.03,95.99,96.98,96.98,96.07,Avg,254575.4,9,265,8.02,2024-09-19,9.9070385917247,9.8934112962514,9.4963983851102,9.4963983851102,9.4963983851102,19.56,900.72135915528,2.2452881842057,,,,,,,,,130.75415222359,,
8,2021-12-20,Moscow Exchange T+,95.72,96.99,126.9999999999996,96.355,95.64,95.64,96.09,96.09,95.96,95.96,95.96,96.09,96.09,95.96,Avg,598791.3,22,624,8.02,2024-09-19,9.9554847981899,10.064808547745,9.4907621679021,9.8964329805325,9.8964329805325,19.34,901.64993880104,2.2466126264354,,,,,,,,,129.56104635613,,
9,2021-12-17,Moscow Exchange T+,96.89,96.98,9.000000000000341,96.935,96.05,95.63,96.98,96.98,96.04,95.98,,96.98,96.98,96.04,Avg,248745.9,13,259,8.02,2024-09-19,9.9145439130726,9.5320111010791,9.4917919854855,9.4917919854855,9.4917919854855,18.68,904.71029572132,2.2550776778024,,,,,,,,,118.79428923472,,
10,2021-12-16,Moscow Exchange T+,96.9,96.97,6.999999999999318,96.935,96.03,95.6,96.04,96.03,95.88,95.94,,96.03,96.03,95.88,Avg,215733.5,12,225,8.02,2024-09-19,9.9855154746759,9.5263679530676,9.4951143658037,9.9175514579982,9.9175514579982,18.46,905.60565842494,2.2558528568394,,,,,,,,,120.66735503212,,
11,2021-12-15,Moscow Exchange T+,95.8,96.0,20.000000000000284,95.9,96.04,95.5,96.1,96.1,95.79,95.79,95.79,96.1,96.1,95.79,Avg,2245354.9,33,2344,8.02,2024-09-19,10.02475405226,10.020216228147,9.9296034487555,9.8843994296845,9.8843994296845,18.24,906.5477911941,2.2573943473068,,,,,,,,,122.45827757698,,
12,2021-12-14,Moscow Exchange T+,95.5,95.73,23.0000000000004,95.615,95.95,95.5,96.0,95.7,95.75,95.75,95.75,95.72,95.72,95.75,Avg,821492.3,22,858,8.02,2024-09-19,10.041288059105,10.154924041395,10.050363132627,10.063980887814,10.054901698191,18.02,907.52340427335,2.2594841763615,,,,,,,,,122.03431771153,,
13,2021-12-13,Moscow Exchange T+,95.78,95.8,1.999999999999602,95.79,99.49,95.71,99.49,95.8,95.83,95.83,95.83,95.8,95.8,95.83,Avg,8110163.9,23,8463,8.02,2024-09-19,10.003429254349,10.026074441285,10.017014314848,10.017014314848,10.017014314848,17.8,908.57924136426,2.2628914501955,,,,,,,,,123.15043364721,,
14,2021-12-10,Moscow Exchange T+,95.7,95.8,9.999999999999432,95.75,96.3,95.8,96.31,95.8,96.09,96.09,96.09,95.85,95.85,96.09,Avg,1222257.3,23,1272,8.02,2024-09-19,9.881539106704,10.057461885308,10.012254788758,10.012254788758,9.9896768171207,17.14,911.75894403627,2.2733297421896,,,,,,,,,110.96932050415,,
15,2021-12-09,Moscow Exchange T+,96.0,96.16,15.99999999999966,96.08,96.14,95.99,96.14,96.0,96.01,96.15,,96.0,96.0,96.01,Avg,66245.8,14,69,8.02,2024-09-19,9.9160505685861,9.9205499346739,9.8486412586724,9.9205499346739,9.9205499346739,16.92,912.70807465985,2.2749817288977,,,,,,,,,114.55667923231,,
16,2021-12-08,Moscow Exchange T+,96.01,96.11,9.999999999999432,96.06,96.4,95.95,96.4,96.01,96.14,96.17,,96.01,96.01,96.14,Avg,40379.6,12,42,8.02,2024-09-19,9.8561866014905,9.9145650659581,9.8696484258197,9.9145650659581,9.9145650659581,16.7,913.7963077286,2.2789354022503,,,,,,,,,104.79970746251,,
17,2021-12-07,Moscow Exchange T+,95.83,96.08,25.0,95.955,96.06,96.03,96.15,96.05,96.06,96.12,,96.05,96.05,96.06,Avg,273775.9,21,285,8.02,2024-09-19,9.8906381531969,9.9940339889112,9.8816641169146,9.8951261837724,9.8951261837724,16.48,914.74553298539,2.2805874888739,,,,,,,,,108.82444030859,,
18,2021-12-06,Moscow Exchange T+,96.3,96.48,18.000000000000682,96.39,96.49,96.07,96.5,96.3,96.14,96.14,96.14,96.3,96.3,96.14,Avg,825859.6,12,859,8.02,2024-09-19,9.8533351447496,9.7817676646902,9.7014592760766,9.7817676646902,9.7817676646902,16.26,915.80050980276,2.2839930069526,,,,,,,,,107.50069157429,,
19,2021-12-03,Moscow Exchange T+,96.3,96.4,10.000000000000853,96.35,96.4,96.29,96.4,96.3,96.32,96.17,,96.3,96.3,96.32,Avg,180121.4,15,187,8.02,2024-09-19,9.768808862731,9.7777191738363,9.7331943113722,9.7777191738363,9.7777191738363,15.6,918.92504654928,2.2935503202978,,,,,,,,,101.37789854051,,
20,2021-12-02,Moscow Exchange T+,96.05,96.26,21.000000000000796,96.155,96.27,96.27,96.27,96.27,96.27,96.1,,96.27,96.27,96.27,Avg,8664.3,5,9,8.02,2024-09-19,9.7897387387772,9.8878868863265,9.7941929921288,9.7897387387772,9.7897387387772,15.38,919.89421433228,2.2955315773679,,,,,,,,,104.36630405552,,
21,2021-12-01,Moscow Exchange T+,95.98,96.29,31.000000000000227,96.135,96.25,96.25,96.3,96.3,96.3,96.1,96.05,96.3,96.3,96.3,Avg,172374.5,7,179,8.02,2024-09-19,9.7750459236166,9.9177247814287,9.7794942760661,9.7750459236166,9.7750459236166,15.16,920.91585892655,2.2983886060039,,,,,,,,,103.96222879669,,
22,2021-11-30,Moscow Exchange T+,95.99,96.06,7.000000000000739,96.025,96.1,95.92,96.1,96.06,96.01,96.01,96.01,96.05,96.05,96.01,Avg,1131939.3,33,1179,8.02,2024-09-19,9.9028774794036,9.9118058506248,9.8805682893471,9.8805682893471,9.8850287865662,14.94,921.72749252056,2.2977385663987,,,,,,,,,116.9933324979,,
23,2021-11-29,Moscow Exchange T+,95.9,96.0,9.999999999999432,95.95,96.15,95.9,96.15,95.94,96.06,96.06,96.06,95.97,95.97,96.06,Avg,2327594.2,28,2423,8.02,2024-09-19,9.8791511305228,9.9505371826928,9.9059007815095,9.9326745664643,9.9192846549012,14.72,922.76246345035,2.3008153159256,,,,,,,,,115.51636502283,,
24,2021-11-26,Moscow Exchange T+,96.27,96.3,3.0000000000001137,96.285,96.3,96.26,96.31,96.26,96.3,96.32,,96.26,96.26,96.3,Avg,447788.3,12,465,8.02,2024-09-19,9.768451975631,9.78174096366,9.768451975631,9.7861719534214,9.7861719534214,14.06,925.92557219629,2.3110304863751,,,,,,,,,92.419757036359,,
25,2021-11-25,Moscow Exchange T+,96.25,96.99,73.99999999999949,96.62,96.51,96.5,96.51,96.5,96.51,96.42,96.44,96.5,96.5,96.51,Avg,5790.3,3,6,8.02,2024-09-19,9.6743728422895,9.7892807550887,9.4634031514696,9.6787841222128,9.6787841222128,13.84,927.06412252811,2.3158570591589,,,,,,,,,81.953018088226,,
26,2021-11-24,Moscow Exchange T+,96.41,96.99,57.99999999999983,96.7,96.29,96.29,96.51,96.51,96.44,96.44,96.44,96.51,96.51,96.44,Avg,677956.1,17,703,8.02,2024-09-19,9.7040206505225,9.7172588450216,9.4623674831466,9.6731546008229,9.6731546008229,13.62,928.02046711895,2.3176195481684,,,,,,,,,76.504784108127,,
27,2021-11-23,Moscow Exchange T+,96.1,96.39,29.000000000000625,96.245,96.11,96.1,96.52,96.4,96.41,96.41,96.41,96.4,96.4,96.41,Avg,950586.9,25,986,8.02,2024-09-19,9.7160072750016,9.853031876622,9.7248284002675,9.72041750794,9.72041750794,13.4,929.00281539957,2.3198193737546,,,,,,,,,69.139101523322,,
28,2021-11-22,Moscow Exchange T+,96.2,96.28,7.999999999999829,96.24,96.53,96.11,96.99,96.11,96.54,96.54,96.54,96.11,96.11,96.54,Avg,4776733.4,29,4948,8.02,2024-09-19,9.6575369521201,9.8074340466138,9.7720955301503,9.8472405335356,9.8472405335356,13.18,930.08890994732,2.3237698613355,,,,,,,,,68.093730611886,,
29,2021-11-19,Moscow Exchange T+,96.68,97.0,31.99999999999932,96.84,97.14,96.6,97.15,97.0,96.94,96.94,96.94,97.0,97.0,96.94,Avg,4489219.1,39,4631,8.02,2024-09-19,9.4790474559068,9.5926310309423,9.4528981427951,9.4528981427951,9.4528981427951,12.52,933.35157299606,2.3357232791776,,,,,,,,,78.853061506812,,
30,2021-11-18,Moscow Exchange T+,97.07,97.15,8.00000000000125,97.11,97.6,97.15,97.6,97.15,97.16,97.16,97.16,97.15,97.15,97.16,Avg,9292012.8,31,9564,8.02,2024-09-19,9.3823342388303,9.421440371513,9.3866767890174,9.3866767890174,9.3866767890174,12.3,934.49379824432,2.3406494287287,,,,,,,,,73.989009213999,,
31,2021-11-17,Moscow Exchange T+,97.52,97.59,7.000000000000739,97.555,97.6,97.5,97.6,97.5,97.58,97.53,,97.51,97.51,97.58,Avg,162961.5,13,167,8.02,2024-09-19,9.1997395917481,9.2256210215126,9.1954282466459,9.2342532578477,9.2299368211739,12.08,935.7621337855,2.3477454094393,,,,,,,,,66.88673012542,,
32,2021-11-16,Moscow Exchange T+,97.51,97.6,8.99999999999892,97.555,97.6,97.5,97.6,97.6,97.57,97.57,97.57,97.6,97.6,97.57,Avg,1654807.8,25,1696,8.02,2024-09-19,9.2028343462397,9.228697120636,9.1899115388569,9.1899115388569,9.1899115388569,11.87,936.75758784746,2.3501763119539,,,,,,,,,67.540883691677,,
33,2021-11-15,Moscow Exchange T+,97.54,97.6,5.999999999998806,97.57,97.6,97.52,97.61,97.6,97.6,97.6,97.6,97.54,97.54,97.6,Avg,793488.1,27,813,8.02,2024-09-19,9.1891403433543,9.2149696467142,9.1891403433543,9.1891403433543,9.2149696467142,11.65,937.77770263004,2.3530306876023,,,,,,,,,75.971774084594,,
34,2021-11-12,Moscow Exchange T+,97.51,97.6,8.99999999999892,97.555,97.54,97.1,97.64,97.57,97.58,97.58,97.58,97.57,97.57,97.58,Avg,1409042.9,36,1444,8.02,2024-09-19,9.1954345545933,9.2255030687056,9.1868492468794,9.1997281573545,9.1997281573545,10.99,940.76845736265,2.3603988929612,,,,,,,,,80.445408119944,,
35,2021-11-11,Moscow Exchange T+,97.42,97.54,12.000000000000457,97.48,97.9,97.0,97.9,97.1,97.03,97.03,97.03,97.1,97.1,97.03,Avg,2187113.8,26,2254,8.02,2024-09-19,9.431562134201,9.2633864328119,9.2118346953609,9.4013052474923,9.4013052474923,10.77,941.42141277381,2.3569404448074,,,,,,,,,114.49227035432,,
36,2021-11-10,Moscow Exchange T+,97.1,97.88,78.00000000000011,97.49,97.89,97.88,97.9,97.88,97.9,98.47,,97.88,97.88,97.9,Avg,98878.0,8,101,8.02,2024-09-19,9.0570810227875,9.4003705288771,9.0656140697853,9.0656140697853,9.0656140697853,10.55,942.97161098833,2.3689281259799,,,,,,,,,68.680829629765,,
37,2021-11-09,Moscow Exchange T+,97.11,97.89,78.00000000000011,97.5,96.53,96.53,99.49,97.89,98.62,98.35,,97.89,97.89,98.62,Avg,391540.3,23,397,8.02,2024-09-19,8.7511670957792,9.3951273858743,9.0607031105596,9.0607031105596,9.0607031105596,10.33,944.42030683832,2.3792414964785,,,,,,,,,34.733338310619,,
38,2021-11-08,Moscow Exchange T+,97.05,97.9,85.00000000000085,97.475,98.09,97.01,98.1,97.9,97.84,97.82,,97.9,97.9,97.84,Avg,79249.7,18,81,8.02,2024-09-19,9.0813669019588,9.4200674944453,9.0558034229248,9.0558034229248,9.0558034229248,10.11,944.93596054272,2.373334437264,,,,,,,,,58.493270040414,,
39,2021-11-05,Moscow Exchange T+,97.01,98.78,176.9999999999996,97.895,96.53,96.5,98.93,98.93,96.76,97.83,,98.93,98.93,96.76,Avg,98693.7,23,102,8.02,2024-09-19,9.5422705944373,9.4344692653946,8.6824861139082,8.6196485052729,8.6196485052729,9.45,947.2585609535,2.3691575133837,,,,,,,,,103.3695857893,,
40,2021-11-03,Moscow Exchange T+,97.04,98.15,110.99999999999994,97.595,98.15,96.83,98.15,98.15,97.83,98.0,97.94,98.15,98.15,97.83,Avg,20545.0,7,21,8.02,2024-09-19,9.0823706128148,9.4197002813371,8.9468416990684,8.9468416990684,8.9468416990684,9.01,949.93448702115,2.3858669588799,,,,,,,,,53.817854346012,,
41,2021-11-02,Moscow Exchange T+,96.97,98.15,118.00000000000068,97.56,96.91,96.9,98.16,98.0,97.94,97.94,97.94,98.0,98.0,97.94,Avg,534750.7,36,546,8.02,2024-09-19,9.0351083882418,9.4488315361361,8.9463134762417,9.0097105453104,9.0097105453104,8.79,951.00386192145,2.3895881530049,,,,,,,,,55.252402935458,,
42,2021-11-01,Moscow Exchange T+,96.91,98.49,157.99999999999983,97.7,98.0,91.79,98.5,98.49,97.45,97.45,97.45,98.49,98.49,97.45,Avg,553534.3,37,568,8.02,2024-09-19,9.2425905471673,9.4736513938385,8.8027212477202,8.8027212477202,8.8027212477202,8.57,951.69918306484,2.3867934740797,,,,,,,,,79.734489009471,,
43,2021-10-29,Moscow Exchange T+,98.3,98.5,20.000000000000284,98.4,99.03,98.3,99.05,98.5,98.6,98.56,,98.5,98.5,98.6,Avg,464412.8,21,471,8.02,2024-09-19,8.755501588619099,8.8811843374231,8.7973348265947,8.7973348265947,8.7973348265947,7.91,955.41395399017,2.4068414364789,,,,,,,,,31.601239116438,,
44,2021-10-28,Moscow Exchange T+,98.5,99.04,54.000000000000625,98.77,98.51,98.5,98.51,98.5,98.5,98.63,98.71,98.5,98.5,98.5,Avg,344750.2,2,350,8.02,2024-09-19,8.7969441323013,8.7969441323013,8.5719514118527,8.7969441323013,8.7969441323013,7.69,956.35320749474,2.4082898603953,,,,,,,,,35.412843777567,,
45,2021-10-27,Moscow Exchange T+,98.71,99.04,33.00000000000125,98.875,99.0,98.55,99.05,99.04,98.79,98.79,98.79,99.04,99.04,98.79,Avg,946398.1,18,958,8.02,2024-09-19,8.6756077306482,8.7089219575851,8.571749571791699,8.571749571791699,8.571749571791699,7.47,957.5310267762,2.4139480154564,,,,,,,,,43.837294719689,,
