,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.52,99.58,6.000000000000227,99.55,99.05,98.71,99.55,99.52,99.42,99.42,99.42,99.52,99.52,99.42,Avg,1123457.9,60,1130,6.9,2022-09-19,7.9592177419912,7.8063053548135,7.7147361292214995,7.8063053548135,7.8063053548135,1.89,258.39462402444,0.65573879802571,,,,,,,,,-5.4809464022362,,
1,2021-12-29,Moscow Exchange T+,99.33,99.37,4.000000000000625,99.35,99.4,99.16,99.44,99.38,99.28,99.28,99.28,99.38,99.38,99.28,Avg,1212166.7,38,1221,6.9,2022-09-19,8.1702331177742,8.0937532494855,8.0326362094225,8.0173662241132,8.0173662241132,1.7,259.39098976177,0.65698318792463,,,,,,,,,10.909396482623,,
2,2021-12-28,Moscow Exchange T+,99.26,99.39,12.999999999999543,99.325,99.48,99.06,99.48,99.38,99.26,99.26,99.26,99.38,99.38,99.26,Avg,1348957.7,60,1359,6.9,2022-09-19,8.197084430248399,8.197084430248399,7.9990650136646995,8.0142751324688,8.0142751324688,1.51,260.39052760091,0.6593511364124,,,,,,,,,19.956709985469,,
3,2021-12-27,Moscow Exchange T+,99.31,99.4,9.000000000000341,99.355,98.83,98.83,99.42,99.4,99.23,99.23,99.23,99.4,99.4,99.23,Avg,2318087.4,101,2336,6.9,2022-09-19,8.238969688549599,8.1173967250516,7.980908150784099,7.980908150784099,7.980908150784099,1.32,261.38980680958,0.66162534535684,,,,,,,,,27.970624613769,,
4,2021-12-24,Moscow Exchange T+,99.0,99.19,18.999999999999773,99.095,99.01,98.83,99.3,99.0,99.01,99.01,99.01,99.0,99.0,99.01,Avg,3312970.7,74,3346,6.9,2022-09-19,8.5578524221377,8.5729796202569,8.2861855859586,8.5729796202569,8.5729796202569,0.76,264.3843244967,0.66723926357974,,,,,,,,,63.287185982846,,
5,2021-12-23,Moscow Exchange T+,98.93,99.0,6.999999999999318,98.965,99.56,98.85,99.56,99.0,98.94,98.94,98.94,98.94,98.94,98.94,Avg,4997411.0,85,5051,6.9,2022-09-19,8.6584791162756,8.673576939334,8.567968510009399,8.567968510009399,8.6584791162756,0.57,265.38259641844,0.66913839816201,,,,,,,,,78.779878647455,,
6,2021-12-22,Moscow Exchange T+,99.0,99.1,9.999999999999432,99.05,99.16,98.91,99.43,99.1,99.07,99.07,99.07,99.1,99.1,99.07,Avg,2313383.2,55,2335,6.9,2022-09-19,8.4579504375882,8.5630007259583,8.4129829174862,8.4129829174862,8.4129829174862,0.38,266.38604104017,0.67291034638631,,,,,,,,,58.816913662823,,
7,2021-12-21,Moscow Exchange T+,98.91,99.17,26.00000000000051,99.04,99.43,98.8,99.43,99.17,98.98,98.98,98.98,99.17,99.17,98.98,Avg,1274846.8,50,1288,6.9,2022-09-19,8.5880146010635,8.6929136670397,8.3041744411316,8.3041744411316,8.3041744411316,0.19,267.38380642012,0.67462175862138,,,,,,,,,58.762004387144,,
8,2021-12-20,Moscow Exchange T+,98.79,98.9,10.999999999999943,98.845,99.4,98.51,99.69,98.99,98.65,98.65,98.65,98.82,98.82,98.65,Avg,2759117.1,63,2797,6.9,2022-09-19,9.0773165094531,8.867139175400201,8.702494288653801,8.568107222856,8.8221929562846,,268.37541352009,0.67408617030908,,,,,,,,,104.18091621644,,
9,2021-12-17,Moscow Exchange T+,99.0,99.42,42.00000000000017,99.21,100.48,98.9,100.48,99.4,99.45,99.45,99.45,99.4,99.4,99.45,Avg,513185.7,57,516,6.9,2022-09-19,7.8753811966182,8.5356117424486,7.9191776876813,7.9483926413692,7.9483926413692,16.64,266.83336068503,0.67768038929495,,,,,,,,,-24.347486366224,,
10,2021-12-16,Moscow Exchange T+,98.7,99.0,29.999999999999716,98.85,98.47,98.47,99.01,98.7,98.61,98.61,98.61,98.7,98.7,98.61,Avg,2702854.4,38,2741,6.9,2022-09-19,9.106199240814,8.9728338401542,8.5303395074563,8.9728338401542,8.9728338401542,16.45,267.77500658562,0.6724000653802,,,,,,,,,84.331904276756,,
11,2021-12-15,Moscow Exchange T+,98.7,99.0,29.999999999999716,98.85,98.83,98.64,98.99,98.7,98.74,98.74,98.74,98.7,98.7,98.74,Avg,5020763.9,48,5085,6.9,2022-09-19,8.9070494979673,8.9660185957621,8.525112010040301,8.9660185957621,8.9660185957621,16.26,268.78443030255,0.6761689925984,,,,,,,,,59.862493095233,,
12,2021-12-14,Moscow Exchange T+,98.48,98.6,11.999999999999034,98.54,98.83,98.03,98.83,98.73,98.59,98.63,,98.73,98.73,98.59,Avg,256325.2,49,260,6.9,2022-09-19,9.1211318213575,9.2834273502495,9.1063986962011,8.915185878389,8.915185878389,16.07,269.77430025982,0.67732771792974,,,,,,,,,70.640054846014,,
13,2021-12-13,Moscow Exchange T+,98.55,98.8,25.0,98.675,98.87,98.55,98.87,98.79,98.72,98.64,,98.79,98.79,98.72,Avg,372168.4,24,377,6.9,2022-09-19,8.9232750413937,9.1726074719633,8.806288846205799,8.8209000184927,8.8209000184927,15.88,270.78366225259,0.68109689778005,,,,,,,,,61.050488612238,,
14,2021-12-10,Moscow Exchange T+,98.65,98.68,3.0000000000001137,98.665,98.56,98.55,98.97,98.68,98.59,98.59,,98.68,98.68,98.59,Avg,487012.1,25,494,6.9,2022-09-19,9.0923606079479,9.0052619140336,8.9617586827777,8.9617586827777,8.9617586827777,15.31,273.77566119986,0.68755529761863,,,,,,,,,69.434815861909,,
15,2021-12-09,Moscow Exchange T+,98.54,98.79,25.0,98.665,99.39,98.55,99.39,98.55,98.6,98.6,98.6,98.61,98.61,98.6,Avg,725682.2,24,736,6.9,2022-09-19,9.0708389794511,9.1577336458651,8.7964793172354,9.1432426861007,9.0563684485157,15.12,274.77667931442,0.69020539961313,,,,,,,,,68.805442879344,,
16,2021-12-08,Moscow Exchange T+,98.52,98.75,23.0000000000004,98.635,98.5,98.5,98.9,98.76,98.6,98.6,98.6,98.76,98.76,98.6,Avg,891343.1,47,904,6.9,2022-09-19,9.0638987404845,9.1793795562252,8.8479554006522,8.8335861517283,8.8335861517283,14.93,275.77700765056,0.69276218285192,,,,,,,,,59.228651220713,,
17,2021-12-07,Moscow Exchange T+,98.66,99.04,38.000000000000966,98.85,98.58,98.51,99.12,98.96,98.88,98.88,98.88,98.96,98.96,98.88,Avg,758392.5,38,767,6.9,2022-09-19,8.6545064371248,8.9694121918586,8.426498157798799,8.5403959090699,8.5403959090699,14.75,276.79639061319,0.69794277340113,,,,,,,,,13.071145752213,,
18,2021-12-06,Moscow Exchange T+,98.6,98.8,20.000000000000284,98.7,98.6,98.6,98.99,98.8,98.78,98.78,98.78,98.8,98.8,98.78,Avg,658879.7,30,667,6.9,2022-09-19,8.791516186373501,9.0487528734556,8.7630009874203,8.7630009874203,8.7630009874203,14.56,277.78990050578,0.69956578163684,,,,,,,,,30.618891687961,,
19,2021-12-03,Moscow Exchange T+,98.67,98.99,31.99999999999932,98.83,99.37,98.56,99.37,98.99,98.87,98.87,98.87,98.99,98.99,98.87,Avg,1490986.7,43,1508,6.9,2022-09-19,8.647120456627,8.9294718082072,8.4783369170693,8.4783369170693,8.4783369170693,13.99,280.7967405781,0.7080777984146,,,,,,,,,25.384914731984,,
20,2021-12-02,Moscow Exchange T+,98.65,98.97,31.99999999999932,98.81,99.37,98.53,99.37,98.91,98.81,99.32,,98.87,98.87,98.81,Avg,148213.8,21,150,6.9,2022-09-19,8.7260931430408,8.9514116663025,8.5016074959311,8.5856922926521,8.6418136611903,13.8,281.79299916046,0.71007390389955,,,,,,,,,30.148564321397,,
21,2021-12-01,Moscow Exchange T+,98.65,99.08,42.99999999999926,98.865,99.88,98.64,99.88,98.69,99.09,99.09,99.09,98.69,98.69,99.09,Avg,1035537.4,34,1045,6.9,2022-09-19,8.3295679302167,8.9450947243164,8.3434878943297,8.888878834999101,8.888878834999101,13.61,282.8117961004,0.7152496344584,,,,,,,,,4.9605211240037,,
22,2021-11-30,Moscow Exchange T+,98.66,98.98,32.00000000000074,98.82,98.99,98.6,98.99,98.94,98.84,98.9,,98.94,98.94,98.84,Avg,250075.3,23,253,6.9,2022-09-19,8.6731680440773,8.9248165745451,8.4781621592859,8.5338139731555,8.5338139731555,13.42,283.79550642303,0.71546817802368,,,,,,,,,33.561574111243,,
23,2021-11-29,Moscow Exchange T+,98.73,98.98,25.0,98.855,98.52,98.45,99.0,98.72,98.78,98.78,98.78,98.76,98.76,98.78,Avg,2127736.8,58,2154,6.9,2022-09-19,8.7513315103175,8.8209898184701,8.4734984106471,8.834931109362,8.7791852085837,13.23,284.7918036966,0.71746387482435,,,,,,,,,44.186200922986,,
