,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.55,99.05,50.0,98.8,99.1,98.99,99.18,99.12,99.12,98.89,,99.1,99.1,99.12,Avg,44604.5,9,45,7.9,2023-09-30,8.616259961817601,8.9916698449278,8.662174110580601,8.616259961817601,8.629372921534301,20.13,597.99171741805,1.5083685195514,,,,,,,,,29.652362373881,,
1,2021-12-29,Moscow Exchange T+,98.34,98.95,60.99999999999994,98.645,99.23,98.01,99.24,99.08,98.45,98.74,,99.08,99.08,98.45,Avg,137831.6,27,140,7.9,2023-09-30,9.0566616478225,9.1295282380874,8.727106489371,8.6418640675943,8.6418640675943,19.91,598.81394944986,1.5043429150383,,,,,,,,,65.774935207625,,
2,2021-12-28,Moscow Exchange T+,99.23,99.24,0.9999999999990904,99.235,98.16,98.13,99.24,99.23,98.76,98.62,,99.23,99.23,98.76,Avg,38516.4,18,39,7.9,2023-09-30,8.8504342058822,8.5426019183901,8.5360779725562,8.5426019183901,8.5426019183901,19.7,599.89720062712,1.5099195389632,,,,,,,,,50.189348674731,,
3,2021-12-27,Moscow Exchange T+,98.54,99.22,67.99999999999926,98.88,98.15,98.15,99.25,99.22,98.77,98.53,,99.22,99.22,98.77,Avg,27654.8,11,28,7.9,2023-09-30,8.8429496128257,8.9942122118273,8.5486450004521,8.5486450004521,8.5486450004521,19.48,600.90022180171,1.5125481102773,,,,,,,,,48.311238633436,,
4,2021-12-24,Moscow Exchange T+,98.75,99.26,51.00000000000051,99.005,99.17,99.17,99.26,99.26,99.23,98.52,,99.26,99.26,99.23,Avg,47629.1,14,48,7.9,2023-09-30,8.5400914212325,8.852675625077799,8.5206361158157,8.5206361158157,8.5206361158157,18.83,604.02245663329,1.5246495777752,,,,,,,,,22.191998728728,,
5,2021-12-23,Moscow Exchange T+,98.16,99.17,101.00000000000053,98.665,99.18,98.15,99.26,98.28,99.01,98.36,,98.28,98.28,99.01,Avg,95047.8,17,96,7.9,2023-09-30,8.682395991991699,9.2388132424094,8.5785215808001,9.1597887127612,9.1597887127612,18.61,604.96502549459,1.5250293397421,,,,,,,,,36.719486517114,,
6,2021-12-22,Moscow Exchange T+,98.2,98.97,76.9999999999996,98.585,99.09,98.24,99.24,98.24,98.98,98.19,,98.8,98.8,98.98,Avg,18805.3,7,19,7.9,2023-09-30,8.700571525378301,9.2103785862048,8.7070664056536,9.1840755799886,8.817641862654101,18.4,605.95768977,1.5272762883098,,,,,,,,,37.182650783124,,
7,2021-12-21,Moscow Exchange T+,99.06,99.24,17.99999999999926,99.15,99.2,97.05,99.26,99.06,99.06,98.16,,99.06,99.06,99.06,Avg,14859.1,5,15,7.9,2023-09-30,8.6480497882999,8.6480497882999,8.531642409158,8.6480497882999,8.6480497882999,18.18,606.97888747913,1.5305896970516,,,,,,,,,19.837889205557,,
8,2021-12-20,Moscow Exchange T+,97.15,99.11,195.99999999999935,98.13,99.25,99.2,99.25,99.2,99.22,98.14,,99.21,99.21,99.22,Avg,2976.6,3,3,7.9,2023-09-30,8.5441121860194,9.9022613971802,8.6151307735392,8.5570152000562,8.5505631681455,17.96,608.02083401484,1.5346852727446,,,,,,,,,1.6914471111159,,
9,2021-12-17,Moscow Exchange T+,98.04,99.09,104.99999999999972,98.565,99.26,99.22,99.26,99.22,99.25,98.13,,99.22,99.22,99.25,Avg,6947.8,3,7,7.9,2023-09-30,8.522248912309701,9.3067312769952,8.6250955542001,8.5415122913228,8.5415122913228,17.32,611.0296570288,1.5425904564751,,,,,,,,,-10.852030006845,,
