,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.39,96.4,1.0000000000005116,96.395,96.27,96.25,96.72,96.4,96.42,96.42,96.42,96.4,96.4,96.42,Avg,3281070.7,155,3403,9,2024-09-24,10.945874387642,10.959967740562,10.955269235254,10.955269235254,10.955269235254,0.49,893.76460901914,2.2070853695205,,,,,,,,,256.72460380944,,
1,2021-12-29,Moscow Exchange T+,96.39,96.4,1.0000000000005116,96.395,96.2,96.11,96.64,96.4,96.35,96.35,96.35,96.4,96.4,96.35,Avg,8434100.3,148,8754,9,2024-09-24,10.977121137845,10.958336565995,10.953642224736,10.953642224736,10.953642224736,0.25,894.72029937247,2.208823283843,,,,,,,,,251.92315903672,,
2,2021-12-28,Moscow Exchange T+,96.28,96.3,1.999999999999602,96.29,97.12,95.84,97.2,96.3,96.38,96.38,96.38,96.3,96.3,96.38,Avg,5540740.7,188,5749,9,2024-09-24,10.961871900506,11.008821319658,10.999425667203,10.999425667203,10.999425667203,,895.74192432244,2.2116493006693,,,,,,,,,254.65040894595,,
3,2021-12-27,Moscow Exchange T+,97.0,97.12,12.000000000000457,97.06,96.3,96.0,97.14,97.0,96.23,96.23,96.23,97.0,97.0,96.23,Avg,4614275.6,157,4795,9,2024-09-24,11.030805651813,10.671192790802,10.615529214008,10.671192790802,10.671192790802,22.19,876.23512018732,2.1621424349789,,,,,,,,,258.90054166795,,
4,2021-12-24,Moscow Exchange T+,96.19,96.2,1.0000000000005116,96.195,96.92,95.9,97.0,96.2,96.15,96.15,96.15,96.2,96.2,96.15,Avg,3438168.7,77,3576,9,2024-09-24,11.063327645185,11.044569800275,11.039882140337,11.039882140337,11.039882140337,21.45,879.17570118454,2.1687631752631,,,,,,,,,267.56522142733,,
5,2021-12-23,Moscow Exchange T+,96.01,96.25,23.99999999999949,96.13,97.0,95.69,97.0,96.25,96.03,96.26,96.26,96.25,96.25,96.03,Avg,7591207.6,103,7886,9,2024-09-24,11.117625257679,11.127017245263,11.01450381345,11.01450381345,11.01450381345,21.21,880.07647650205,2.169924369047,,,,,,,,,268.25213892356,,
6,2021-12-22,Moscow Exchange T+,95.99,96.0,1.0000000000005116,95.995,97.69,95.8,97.69,96.0,95.9,95.9,95.9,96.0,96.0,95.9,Avg,24407410.0,105,25450,9,2024-09-24,11.177101384975,11.134826603422,11.130133020613,11.130133020613,11.130133020613,20.96,880.96775873986,2.1709599079758,,,,,,,,,269.40102284437,,
7,2021-12-21,Moscow Exchange T+,96.22,96.25,3.0000000000001137,96.235,99.8,95.75,99.9,96.25,96.1,96.1,96.1,96.25,96.25,96.1,Avg,2505363.0,100,2607,9,2024-09-24,11.081704221717,11.025574281768,11.011557950241,11.011557950241,11.011557950241,20.71,882.14212231707,2.1757207897635,,,,,,,,,248.77258693897,,
8,2021-12-20,Moscow Exchange T+,96.09,96.38,28.999999999999204,96.235,97.82,95.72,97.82,96.05,96.03,96.03,96.03,96.31,96.31,96.03,Avg,1759317.8,66,1832,9,2024-09-24,11.112470722808,11.0843881767,10.949020036499,11.103106995509,10.981639987661,20.47,883.08589712929,2.1774454307908,,,,,,,,,245.6310002704,,
9,2021-12-17,Moscow Exchange T+,96.09,96.49,39.99999999999915,96.29,96.54,95.72,96.55,96.49,96.05,96.05,96.05,96.49,96.49,96.05,Avg,2619166.9,51,2727,9,2024-09-24,11.098038890987,11.079370406631,10.893314226689,10.893314226689,10.893314226689,19.73,886.11227206042,2.1851914571977,,,,,,,,,237.25297857222,,
10,2021-12-16,Moscow Exchange T+,96.29,96.54,25.0,96.415,96.38,95.25,96.98,96.55,96.41,96.5,,96.55,96.55,96.41,Avg,283453.5,49,294,9,2024-09-24,10.929062836726,10.984778728827,10.868819297654,10.864190136641,10.864190136641,19.48,887.42094827998,2.1917522848262,,,,,,,,,215.21186391074,,
