,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.0,99.74,73.99999999999949,99.37,99.75,98.49,99.76,99.0,99.52,99.52,99.52,99.0,99.0,99.52,Avg,60323615.3,93,60612,9.5,2023-10-20,10.153283988196,10.497238014884,10.008650397855,10.497238014884,10.497238014884,17.96,602.53151694661,1.4986128597697,,,,,,,,,183.20685149158,,
1,2021-12-29,Moscow Exchange T+,99.61,99.75,14.000000000000057,99.68,99.74,99.74,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,Avg,27582860.0,21,27652,9.5,2023-10-20,10.001749239033,10.093583882568,10.001749239033,10.001749239033,10.001749239033,17.7,603.61771207346,1.5033825987367,,,,,,,,,160.10332253944,,
2,2021-12-28,Moscow Exchange T+,99.5,99.6,9.999999999999432,99.55,99.6,99.4,99.6,99.6,99.59,99.59,99.59,99.6,99.6,99.59,Avg,5908563.9,33,5933,9.5,2023-10-20,10.106239345693,10.165324101673,10.09967977026,10.09967977026,10.09967977026,17.44,604.55827812152,1.5042962683048,,,,,,,,,175.58015195733,,
3,2021-12-27,Moscow Exchange T+,99.4,99.6,19.999999999998863,99.5,99.89,99.23,99.89,99.6,99.71,99.71,99.71,99.6,99.6,99.71,Avg,678060.5,30,680,9.5,2023-10-20,10.027230535212,10.230426639319,10.099213877141,10.099213877141,10.099213877141,17.18,605.60321893678,1.5079784278181,,,,,,,,,166.5006905613,,
4,2021-12-24,Moscow Exchange T+,99.26,99.5,23.99999999999949,99.38,99.9,99.19,99.9,99.5,99.28,99.3,,99.5,99.5,99.28,Avg,488478.3,24,492,9.5,2023-10-20,10.307121086745,10.320237046513,10.163130052792,10.163130052792,10.163130052792,16.4,608.44399779163,1.5112078354873,,,,,,,,,198.69298250342,,
5,2021-12-23,Moscow Exchange T+,99.21,99.45,24.00000000000091,99.33,99.47,99.0,99.47,99.47,99.43,99.43,99.43,99.43,99.43,99.43,Avg,1258775.8,29,1266,9.5,2023-10-20,10.20829219254,10.352248698512,10.195231043887,10.182174186303,10.20829219254,16.14,609.50022400536,1.5151887341604,,,,,,,,,189.00206554144,,
6,2021-12-22,Moscow Exchange T+,98.41,99.3,89.00000000000006,98.855,99.8,98.43,99.8,98.43,99.6,99.6,99.6,99.26,99.26,99.6,Avg,1050791.3,20,1055,9.5,2023-10-20,10.096972393049,10.878630426665,10.292586105416,10.865365863737,10.318740871656,15.88,610.56354943374,1.5193668012884,,,,,,,,,176.44748801015,,
7,2021-12-21,Moscow Exchange T+,97.7,98.0,29.999999999999716,97.85,98.8,97.8,98.8,98.0,97.97,98.18,,97.94,97.94,97.97,Avg,152840.0,12,156,9.5,2023-10-20,11.169646052754,11.350218311904,11.149632637929,11.149632637929,11.189669479611,15.62,610.95303386077,1.5056663287309,,,,,,,,,271.6842040658,,
8,2021-12-20,Moscow Exchange T+,97.2,98.0,79.99999999999972,97.6,98.6,98.6,98.67,98.65,98.65,97.85,,98.65,98.65,98.65,Avg,147972.6,10,150,9.5,2023-10-20,10.717165791706,11.684139150495,11.147747867649,10.717165791706,10.717165791706,15.36,612.21064951544,1.5149317079546,,,,,,,,,218.66519091179,,
9,2021-12-17,Moscow Exchange T+,97.05,98.0,95.00000000000028,97.525,98.79,97.86,98.79,98.0,98.0,97.34,,97.93,97.93,98.0,Avg,199926.4,12,204,9.5,2023-10-20,11.142157559161,11.777269925534,11.142157559161,11.142157559161,11.188612291915,14.58,614.96868770572,1.5159375674751,,,,,,,,,250.86121716724,,
10,2021-12-16,Moscow Exchange T+,97.75,98.49,73.99999999999949,98.12,97.75,97.75,98.79,98.66,97.92,97.22,,98.66,98.66,97.92,Avg,16646.1,7,17,9.5,2023-10-20,11.193337511004,11.306244478193,10.817086596411,10.705557522342,10.705557522342,14.32,615.93954194651,1.5176319302467,,,,,,,,,250.32100013007,,
11,2021-12-15,Moscow Exchange T+,97.01,97.65,64.00000000000006,97.33,97.01,97.0,97.75,97.6,97.07,97.21,,97.6,97.6,97.07,Avg,198021.9,18,204,9.5,2023-10-20,11.759074643045,11.799402395562,11.371322839465,11.404601802611,11.404601802611,14.05,616.61726411635,1.5116109119889,,,,,,,,,303.62677844239,,
12,2021-12-14,Moscow Exchange T+,97.0,97.05,4.999999999999716,97.025,97.2,97.05,97.2,97.05,97.15,97.25,,97.05,97.05,97.15,Avg,42744.1,13,44,9.5,2023-10-20,11.702764878958,11.803385840296,11.769817375602,11.769817375602,11.769817375602,13.79,617.64935005195,1.5149043105388,,,,,,,,,294.97379381035,,
13,2021-12-13,Moscow Exchange T+,97.1,98.1,100.0,97.6,98.47,97.03,98.47,97.25,97.32,97.32,97.32,97.25,97.25,97.32,Avg,1006262.6,19,1034,9.5,2023-10-20,11.586600446307,11.733641368877,11.069603695069,11.633327451565,11.633327451565,13.53,618.71553592198,1.5190991127435,,,,,,,,,288.90210932155,,
