,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.5,100.17,67.00000000000017,99.835,,,,,100.0,100.18,99.92,99.31,99.31,100.0,Avg,,,,12,2023-05-26,12.526974727822,12.956892722884,12.381681519574,,13.121281442738,21.7,469.64183767824,1.1434502432452,,,,,,,,,426.51286991955,,
1,2021-12-29,Moscow Exchange T+,99.13,100.3,117.00000000000016,99.715,99.5,99.11,99.5,99.11,100.0,100.18,99.92,99.31,99.31,100.0,Avg,11916.6,3.0,12.0,12,2023-05-26,12.526947951815002,13.276156565339,12.271308013892,13.293518625107,13.120180731645,21.37,470.64184618773,1.1458852648656,,,,,,,,,419.62051537613,,
2,2021-12-28,Moscow Exchange T+,99.06,100.39,132.99999999999983,99.725,100.4,100.4,100.4,100.4,100.0,100.2,99.92,100.4,100.4,100.0,Avg,1004.0,1.0,1.0,12,2023-05-26,12.526930380085998,13.335472572183,12.195462245605,12.186993451974,12.186993451974,21.04,471.64185177208,1.1483201865946,,,,,,,,,425.10950521556,,
3,2021-12-27,Moscow Exchange T+,99.01,99.75,73.99999999999949,99.38,100.39,99.0,100.4,99.0,100.0,100.19,99.92,99.01,99.01,100.0,Avg,29841.2,5.0,30.0,12,2023-05-26,12.526921960075,13.377324480527,12.740241000573,13.385992202323,13.377324480527,20.71,472.64185444798,1.1507550084129,,,,,,,,,425.53907185129,,
4,2021-12-24,Moscow Exchange T+,99.05,99.75,70.00000000000028,99.4,99.9,99.5,100.4,99.75,99.94,99.77,99.77,99.75,99.75,99.94,Avg,1004369.3,8.0,1005.0,12,2023-05-26,12.576939556782,13.337464531613,12.73827891929,12.73827891929,12.73827891929,19.73,475.62595928297,1.1575059910881,,,,,,,,,434.08950642078,,
5,2021-12-23,Moscow Exchange T+,99.5,99.99,48.99999999999949,99.745,,,,,,99.47,99.39,100.0,100.0,99.47,Market,,,,12,2023-05-26,12.976274761628002,12.950680572556,12.534587181352,,12.52613345731,19.4,476.49909451883,1.1555319681402,,,,,,,,,477.19193461649,,
6,2021-12-22,Moscow Exchange T+,99.5,100.0,50.0,99.75,99.5,99.5,100.0,100.0,99.5,99.47,99.39,100.0,100.0,99.5,Avg,598000.0,2.0,601.0,12,2023-05-26,12.949965833374,12.949965833374,12.52617151939,12.52617151939,12.52617151939,19.07,477.50745038291,1.1582469994016,,,,,,,,,474.79198892336,,
7,2021-12-21,Moscow Exchange T+,98.65,99.5,84.99999999999943,99.075,98.54,98.54,100.5,100.5,99.26,99.4,,99.64,99.64,99.26,Avg,492307.8,12.0,496.0,12,2023-05-26,13.153676327166,13.677223000131,12.94926321027,12.106934796887,12.830428474382,18.74,478.44275893901,1.1584264177993,,,,,,,,,482.77258350226,,
8,2021-12-20,Moscow Exchange T+,98.51,99.5,98.99999999999947,99.005,99.0,99.0,100.5,100.5,99.92,99.41,99.41,100.5,100.5,99.92,Avg,1491102.5,10.0,1500.0,12,2023-05-26,12.593588369127,13.796002373084,12.948572633154,12.10772757762,12.10772757762,18.41,479.62066868355,1.1670551123765,,,,,,,,,419.57719874511,,
9,2021-12-17,Moscow Exchange T+,99.02,100.0,98.0000000000004,99.51,100.47,100.0,100.48,100.0,100.37,99.74,,100.0,100.0,100.37,Avg,13047.7,3.0,13.0,12,2023-05-26,12.218035851126,13.353401671891,12.52649343449,12.52649343449,12.52649343449,17.42,482.74004088916,1.1785765491792,,,,,,,,,370.97329086405,,
10,2021-12-16,Moscow Exchange T+,98.27,100.16,189.00000000000009,99.215,,,,,,99.73,,99.0,99.0,99.73,Market,,,,12,2023-05-26,12.751726608569,13.992807708673,12.392347897109,,13.36819346954,17.1,483.57042233298,1.1750156844556,,,,,,,,,416.57759050139,,
11,2021-12-15,Moscow Exchange T+,98.12,99.0,87.99999999999955,98.56,100.07,98.12,100.5,99.0,99.97,99.73,,99.0,99.0,99.97,Avg,432881.5,20.0,433.0,12,2023-05-26,12.550860632609002,14.119484699256,13.366824223321,13.366824223321,13.366824223321,16.77,484.63424680117,1.1797022717253,,,,,,,,,392.47834314206,,
12,2021-12-14,Moscow Exchange T+,98.26,98.99,72.99999999999898,98.625,100.49,100.49,100.49,100.49,100.49,98.9,98.86,100.49,100.49,100.49,Avg,5024.5,1.0,5.0,12,2023-05-26,12.120023014235,13.996480214595,13.373941034484,12.120023014235,12.120023014235,16.44,485.77120551249,1.1870136834825,,,,,,,,,344.81945229388,,
13,2021-12-13,Moscow Exchange T+,98.5,99.0,50.0,98.75,98.5,98.5,99.0,98.5,98.7,98.89,98.85,98.5,98.5,98.7,Avg,330635.0,5.0,335.0,12,2023-05-26,13.618486876228,13.788822732237,13.364130101968,13.788822732237,13.788822732237,16.11,486.29522120376,1.1726222652324,,,,,,,,,501.32476647459,,
14,2021-12-10,Moscow Exchange T+,98.0,98.99,98.99999999999947,98.495,100.0,100.0,100.0,100.0,100.0,98.93,98.88,100.0,100.0,100.0,Avg,5000.0,1.0,5.0,12,2023-05-26,12.526477536073,14.208990944065,13.368611179628,12.526477536073,12.526477536073,15.12,489.6419956872,1.1921504601092,,,,,,,,,387.82605992718,,
15,2021-12-09,Moscow Exchange T+,98.01,98.99,97.99999999999898,98.5,98.5,98.5,98.9,98.9,98.83,98.86,98.87,98.9,98.9,98.83,Avg,5930.0,3.0,6.0,12,2023-05-26,13.501889630581,14.197692376905998,13.367315072924,13.442965778074,13.442965778074,14.79,490.3322217378,1.1835714403865,,,,,,,,,486.86639804914,,
16,2021-12-08,Moscow Exchange T+,98.0,98.99,98.99999999999947,98.495,98.5,98.5,99.0,99.0,98.93,98.86,98.87,99.0,99.0,98.93,Avg,596520.0,4.0,603.0,12,2023-05-26,13.415527550703,14.202659084578,13.36519490794,13.356811387583,13.356811387583,14.47,491.35963150834,1.1869545558071,,,,,,,,,473.05802777469,,
17,2021-12-07,Moscow Exchange T+,98.5,99.0,50.0,98.75,,,,,,99.25,99.25,98.5,98.5,99.25,Market,,,,12,2023-05-26,13.146816382297,13.775858807477,13.355559765861,,13.775858807477,14.14,492.44493711667,1.1924013899958,,,,,,,,,444.90244462396,,
18,2021-12-06,Moscow Exchange T+,98.0,98.5,50.0,98.25,100.09,98.5,100.1,98.5,98.62,99.25,,98.5,98.5,98.62,Avg,128201.0,8.0,130.0,12,2023-05-26,13.672859088650998,14.197265613926,13.773901242255,13.773901242255,13.773901242255,13.81,493.27796902397,1.1888910873814,,,,,,,,,500.41723034849,,
19,2021-12-03,Moscow Exchange T+,99.01,100.09,107.99999999999984,99.55,100.14,100.14,100.14,100.14,100.0,99.34,99.35,100.14,100.14,100.0,Avg,1001.4,1.0,1.0,12,2023-05-26,12.526886634,13.342383171911,12.453457018992,12.412713128265,12.412713128265,12.82,496.6418656747,1.2091889204309,,,,,,,,,387.77956263619,,
20,2021-12-02,Moscow Exchange T+,98.91,100.17,126.00000000000053,99.54,100.11,98.92,100.6,98.92,100.05,99.35,99.35,100.53,100.53,100.05,Avg,206911.5,8.0,206.0,12,2023-05-26,12.486355300433,13.424249072166,12.38872571136,13.415939054611,12.097070787263,12.49,497.65474701681,1.2120915993929,,,,,,,,,383.86840738427,,
21,2021-12-01,Moscow Exchange T+,98.52,99.0,48.0000000000004,98.76,100.5,99.0,100.5,99.0,99.0,99.0,98.99,99.0,99.0,99.0,Avg,655410.0,2.0,662.0,12,2023-05-26,13.348344303782,13.747655943754,13.348344303782,13.348344303782,13.348344303782,12.16,498.38095658823,1.2046292221653,,,,,,,,,477.53371910371,,
22,2021-11-30,Moscow Exchange T+,98.52,98.8,28.000000000000114,98.66,98.8,98.8,98.8,98.8,98.8,98.98,,98.8,98.8,98.8,Avg,5928.0,2.0,6.0,12,2023-05-26,13.512044398806,13.744993881911,13.512044398806,13.512044398806,13.512044398806,11.84,499.32899901799,1.2051801745703,,,,,,,,,490.96384765372,,
23,2021-11-29,Moscow Exchange T+,98.2,99.0,79.99999999999972,98.6,99.0,99.0,99.0,99.0,99.0,98.98,,99.0,99.0,99.0,Avg,200970.0,3.0,203.0,12,2023-05-26,13.345223818227,14.010393220167,13.345223818227,13.345223818227,13.345223818227,11.51,500.38194713172,1.2094990843152,,,,,,,,,475.74922300171,,
24,2021-11-26,Moscow Exchange T+,97.02,98.75,173.0000000000004,97.885,98.7,98.01,98.99,98.99,99.85,98.98,,98.99,98.99,99.85,Avg,23666.1,7.0,24.0,12,2023-05-26,12.648918141713,14.997412600995,13.547695746867,13.350101580624,13.350101580624,10.52,503.60308708866,1.2248093527527,,,,,,,,,396.23174239123,,
25,2021-11-25,Moscow Exchange T+,98.81,99.0,18.999999999999773,98.905,99.0,97.03,99.0,98.99,98.98,99.0,,98.99,98.99,98.98,Avg,364255.9,7.0,368.0,12,2023-05-26,13.357204846867,13.496872201002,13.340801103,13.349002246967,13.349002246967,10.19,504.37814398796,1.2190296422719,,,,,,,,,466.92046340443,,
26,2021-11-24,Moscow Exchange T+,98.5,98.99,48.99999999999949,98.745,99.01,99.0,99.01,99.0,99.0,99.61,,99.0,99.0,99.0,Avg,16830.1,3.0,17.0,12,2023-05-26,13.339728654074,13.750892931794,13.347916188453,13.339728654074,13.339728654074,9.86,505.38369148601,1.2216482868177,,,,,,,,,454.95221519862,,
27,2021-11-23,Moscow Exchange T+,98.5,98.99,48.99999999999949,98.745,99.5,99.0,99.5,99.0,99.42,99.62,,99.01,99.01,99.42,Avg,11930.1,3.0,12.0,12,2023-05-26,12.996665559948,13.749151961666,13.346843331963,13.338669350656,13.330496818337,9.53,506.49261850123,1.2280459805747,,,,,,,,,409.46618894297,,
28,2021-11-22,Moscow Exchange T+,98.0,98.5,50.0,98.25,99.01,99.0,99.87,99.49,99.01,99.63,,99.49,99.49,99.01,Avg,214844.1,7.0,217.0,12,2023-05-26,13.328648257517,14.160065836097,13.746603647052,12.938713557202,12.938713557202,9.21,507.38720882677,1.2266112438158,,,,,,,,,451.46242298748,,
29,2021-11-19,Moscow Exchange T+,99.31,100.0,68.99999999999977,99.655,99.98,99.31,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,Avg,56991.4,7.0,57.0,12,2023-05-26,12.528917453855,13.082734809363,12.528917453855,12.528917453855,12.528917453855,8.22,510.64122027543,1.2432511335801,,,,,,,,,398.00706508032,,
30,2021-11-18,Moscow Exchange T+,99.15,100.0,84.99999999999943,99.575,100.02,100.0,100.02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Avg,68000.7,6.0,68.0,12,2023-05-26,12.5292358095,13.211324978554002,12.5292358095,12.5292358095,12.5292358095,7.89,511.64111910144,1.245682049296,,,,,,,,,401.07482588233,,
31,2021-11-17,Moscow Exchange T+,99.03,100.0,96.99999999999989,99.515,100.01,99.99,100.01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Avg,832999.0,12.0,833.0,12,2023-05-26,12.529561513183,13.307503791614,12.529561513183,12.529561513183,12.529561513183,7.56,512.64101559227,1.2481128640717,,,,,,,,,410.25977259726,,
32,2021-11-16,Moscow Exchange T+,99.8,100.0,20.000000000000284,99.9,100.55,100.0,100.55,100.0,100.29,100.7,,100.0,100.0,100.29,Avg,193556.5,10.0,193.0,12,2023-05-26,12.30024177532,12.688954963189,12.529894527677,12.529894527677,12.529894527677,7.23,513.71390565953,1.2532790096634,,,,,,,,,387.07845107219,,
33,2021-11-15,Moscow Exchange T+,99.02,100.8,178.0000000000001,99.91,100.02,100.01,100.9,100.7,100.06,100.87,,100.7,100.7,100.06,Avg,85677.0,9.0,85.0,12,2023-05-26,12.482701807118,13.313722393656,11.900526514698,11.978762205634,11.978762205634,6.9,514.65590817714,1.2535404681198,,,,,,,,,408.04418861934,,
