,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.83,99.84,1.0000000000005116,99.835,99.85,99.82,99.85,99.84,99.84,99.8,,99.84,99.84,99.84,Avg,213664.7,19,214,11.5,2024-10-22,12.075003836293,12.079597513958,12.075003836293,12.075003836293,12.075003836293,20.48,874.07900115009,2.1367271090619,,,,,,,,,369.88301777353,,
1,2021-12-29,Moscow Exchange T+,99.53,99.84,31.000000000000227,99.685,99.84,99.51,99.84,99.84,99.74,99.78,,99.77,99.77,99.74,Avg,78795.5,11,79,11.5,2024-10-22,12.121017578515,12.217695247868,12.075087794797,12.075087794797,12.107231396305,20.16,874.98215042619,2.1380570947387,,,,,,,,,366.49605142227,,
2,2021-12-28,Moscow Exchange T+,99.6,99.84,24.00000000000091,99.72,99.84,99.6,99.85,99.84,99.79,99.79,,99.84,99.84,99.79,Avg,389169.8,20,390,11.5,2024-10-22,12.097654545997,12.184972307085,12.074717600331,12.074717600331,12.074717600331,19.85,876.03132743767,2.1410669458847,,,,,,,,,368.45880830088,,
3,2021-12-27,Moscow Exchange T+,99.6,99.82,21.999999999999886,99.71,99.82,99.05,99.83,99.82,99.82,99.08,,99.82,99.82,99.82,Avg,72865.4,17,73,11.5,2024-10-22,12.083975902399,12.184974463749,12.083975902399,12.083975902399,12.083975902399,19.53,877.06011780246,2.1438429650532,,,,,,,,,364.20485229346,,
4,2021-12-24,Moscow Exchange T+,99.6,99.78,18.000000000000682,99.69,99.84,99.56,99.85,99.56,99.81,98.91,,99.56,99.56,99.81,Avg,109788.8,13,110,11.5,2024-10-22,12.087916883789,12.184091235507,12.101637509147,12.202444609359,12.202444609359,18.59,880.05182309741,2.1510801094628,,,,,,,,,370.01370035653,,
5,2021-12-23,Moscow Exchange T+,99.7,99.84,14.000000000000057,99.77,99.98,99.7,99.98,99.85,99.75,98.69,,99.85,99.85,99.75,Avg,79799.4,6,80,11.5,2024-10-22,12.115441990054,12.138314988442,12.074313838168,12.069747471262,12.069747471262,18.27,880.99388689499,2.1528540931215,,,,,,,,,368.01031843115,,
6,2021-12-22,Moscow Exchange T+,99.26,99.95,68.99999999999977,99.605,97.0,97.0,99.95,99.65,99.3,98.58,,99.65,99.65,99.3,Avg,91354.0,16,92,11.5,2024-10-22,12.321372696655,12.339778736086,12.023822690678,12.160792236994,12.160792236994,17.96,881.56025306148,2.1502885088079,,,,,,,,,383.80722597778,,
7,2021-12-21,Moscow Exchange T+,98.1,98.41,31.000000000000227,98.255,98.97,98.0,98.99,98.51,98.29,98.45,,98.51,98.51,98.29,Avg,318454.6,23,324,11.5,2024-10-22,12.789090641742002,12.877898214321002,12.733134115843,12.686581739224,12.686581739224,17.64,881.57418971718,2.1414054665283,,,,,,,,,419.52876241886,,
8,2021-12-20,Moscow Exchange T+,97.77,98.0,23.0000000000004,97.885,98.98,98.29,98.98,98.3,98.41,98.83,,98.3,98.3,98.41,Avg,64949.2,15,66,11.5,2024-10-22,12.732255152557,13.031628462395,12.923703895864,12.783501963326998,12.783501963326998,17.33,882.69409953665,2.1452067959236,,,,,,,,,407.61778784622,,
9,2021-12-17,Moscow Exchange T+,98.0,98.9,90.00000000000057,98.45,99.85,98.9,99.85,98.9,98.96,98.71,,98.9,98.9,98.96,Avg,201876.5,17,204,11.5,2024-10-22,12.476259754304,12.921563199681,12.503901435865,12.503901435865,12.503901435865,16.38,886.23389385585,2.1587115989297,,,,,,,,,375.07419953563,,
10,2021-12-16,Moscow Exchange T+,99.01,99.86,84.99999999999943,99.435,99.01,99.0,99.2,99.01,99.03,97.82,,99.14,99.14,99.03,Avg,27728.7,10,28,11.5,2024-10-22,12.443425793266,12.452619547827,12.064318701346,12.452619547827,12.392909779472,16.07,887.30309256198,2.1619470944896,,,,,,,,,366.64950529073,,
11,2021-12-15,Moscow Exchange T+,98.66,99.45,79.00000000000063,99.055,99.86,99.44,99.9,99.44,99.74,97.72,,99.44,99.44,99.74,Avg,11969.2,7,12,11.5,2024-10-22,12.118947858734,12.613671456564,12.251000405824,12.255564216044,12.255564216044,15.75,888.98650715986,2.1723174523004,,,,,,,,,332.0170103308,,
12,2021-12-14,Moscow Exchange T+,98.15,98.16,0.9999999999990904,98.155,99.7,98.13,99.7,98.16,98.79,97.16,,98.16,98.16,98.79,Avg,91874.3,22,93,11.5,2024-10-22,12.552996331135,12.849177128419,12.844527080863,12.844527080863,12.844527080863,15.44,889.0721375292,2.1641485831761,,,,,,,,,373.34018244015,,
13,2021-12-13,Moscow Exchange T+,99.02,99.5,48.0000000000004,99.26,99.49,99.49,99.5,99.5,99.5,96.91,,99.5,99.5,99.5,Avg,27859.8,9,28,11.5,2024-10-22,12.227794421279,12.447111605894,12.227794421279,12.227794421279,12.227794421279,15.12,890.75734282806,2.1745335804074,,,,,,,,,345.72349537915,,
