,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,101.4,99.96,101.79,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Avg,11542503.7,113,11542,9.9,2026-10-26,,,,,,16.0,,,2024-10-31,10.270084559316,10.274489675623,10.270084559316,10.270084559316,10.270084559316,899.35588384654,2.2345033403342,189.07809513672,,
1,2021-12-29,Moscow Exchange T+,101.39,101.4,1.0000000000005116,101.395,100.33,100.33,102.46,101.4,101.84,101.85,,101.4,101.4,101.84,Avg,161919.2,15,159,9.9,2026-10-26,,,,,,15.73,,,2024-10-31,9.47103750149,9.6644544958776,9.6601425777144,9.6601425777144,9.6601425777144,901.89127675419,2.2571586615066,101.25240931487,,
2,2021-12-28,Moscow Exchange T+,101.88,101.89,1.0000000000005116,101.885,100.34,100.34,102.48,101.88,101.88,102.47,,101.88,101.88,101.88,Avg,413652.7,21,406,9.9,2026-10-26,,,,,,15.46,,,2024-10-31,9.4545047497106,9.4545047497106,9.4502270074681,9.4545047497106,9.4545047497106,902.92298618994,2.2600820419923,103.83409120581,,
3,2021-12-27,Moscow Exchange T+,101.9,101.99,8.99999999999892,101.945,102.49,100.34,102.5,101.99,102.5,102.5,102.5,101.99,101.99,102.5,Avg,7914730.0,27,7722,9.9,2026-10-26,,,,,,15.19,,,2024-10-31,9.1912722800399,9.4465575581583,9.4081235642421,9.4081235642421,9.4081235642421,904.42753690785,2.2693056056772,74.536995910196,,
4,2021-12-24,Moscow Exchange T+,101.18,102.46,127.99999999999868,101.82,101.25,100.33,102.5,101.12,102.46,102.46,102.46,101.12,101.12,102.46,Avg,5322904.7,35,5195,9.9,2026-10-26,,,,,,14.38,,,2024-10-31,9.2106524532087,9.756900472689,9.2106524532087,9.7827558000286,9.7827558000286,907.39041073693,2.2763357506465,81.981589593859,,
5,2021-12-23,Moscow Exchange T+,101.25,101.3,4.999999999999716,101.275,100.34,100.33,101.25,101.25,101.0,101.0,101.0,101.25,101.25,101.0,Avg,3481470.0,22,3447,9.9,2026-10-26,,,,,,14.1,,,2024-10-31,9.8352580057294,9.7275765364846,9.7060872998956,9.7275765364846,9.7275765364846,907.19210438263,2.2628961458776,139.3525577241,,
6,2021-12-22,Moscow Exchange T+,100.72,100.97,25.0,100.845,100.1,99.7,101.0,100.72,100.85,100.85,100.85,100.74,100.74,100.85,Avg,4192386.2,35,4157,9.9,2026-10-26,,,,,,13.83,,,2024-10-31,9.9002958858963,9.9565221462869,9.8484895401347,9.9565221462869,9.9478649856708,908.06713342593,2.2637383639568,140.80526121726,,
7,2021-12-21,Moscow Exchange T+,100.09,100.1,0.9999999999990904,100.095,98.99,98.05,100.1,100.1,99.84,99.84,99.84,100.1,100.1,99.84,Avg,3913692.1,31,3920,9.9,2026-10-26,,,,,,13.56,,,2024-10-31,10.33984227525,10.23049485407,10.226129341775,10.226129341775,10.226129341775,908.22157978233,2.255104094282,173.82341400665,,
8,2021-12-20,Moscow Exchange T+,99.06,99.85,78.9999999999992,99.455,98.99,98.99,99.65,99.59,99.55,99.63,,99.58,99.58,99.55,Avg,176203.8,24,177,9.9,2026-10-26,,,,,,13.29,,,2024-10-31,10.46696536936,10.68321182877,10.335343332455,10.449381963449,10.453776837663,908.97672283174,2.2543818213107,180.57512482333,,
9,2021-12-17,Moscow Exchange T+,99.48,99.65,17.00000000000017,99.565,99.65,99.64,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,Avg,1008457.9,11,1012,9.9,2026-10-26,,,,,,12.48,,,2024-10-31,10.42247620588,10.497024724054,10.42247620588,10.42247620588,10.42247620588,912.06243102003,2.2629461561954,169.55675261001,,
