,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.0,100.14,14.000000000000057,100.07,100.22,99.69,100.22,100.0,100.02,100.02,100.02,100.0,100.0,100.02,Avg,1513347.9,63,1513,8,2022-10-31,8.2136571984645,8.2401427818606,8.0549919786472,8.2401427818606,8.2401427818606,12.93,294.46066109163,0.74550806074113,,,,,,,,,13.295799499782,,
1,2021-12-29,Moscow Exchange T+,99.98,100.0,1.999999999999602,99.99,100.19,99.65,100.19,99.99,99.98,99.98,99.98,99.99,99.99,99.98,Avg,761878.6,57,762,8,2022-10-31,8.266593434734899,8.266593434734899,8.2401799542238,8.2533852207963,8.2533852207963,12.71,295.45779703153,0.74766683872132,,,,,,,,,13.730344388624,,
2,2021-12-28,Moscow Exchange T+,99.82,100.1,28.000000000000114,99.96,99.97,99.41,100.25,100.1,100.02,100.02,100.02,100.1,100.1,100.02,Avg,1992389.9,103,1992,8,2022-10-31,8.2139047887841,8.477617244824,8.1087484170994,8.1087484170994,8.1087484170994,12.49,296.46064769433,0.75056985899597,,,,,,,,,14.680860921537,,
3,2021-12-27,Moscow Exchange T+,99.76,99.93,17.00000000000017,99.845,101.0,99.6,101.0,99.93,99.82,99.82,99.82,99.93,99.93,99.82,Avg,2558283.4,66,2563,8,2022-10-31,8.476919089887499,8.556012381531,8.3321889967273,8.3321889967273,8.3321889967273,12.27,297.44642327264,0.75123972402,,,,,,,,,44.222474237325,,
4,2021-12-24,Moscow Exchange T+,99.71,99.92,21.000000000000796,99.815,99.6,99.4,99.96,99.92,99.84,99.84,99.84,99.92,99.92,99.84,Avg,1209094.4,52,1211,8,2022-10-31,8.4474911085958,8.617308628590099,8.3432309962477,8.3432309962477,8.3432309962477,11.62,300.44801409925,0.75902654426857,,,,,,,,,44.523531277761,,
5,2021-12-23,Moscow Exchange T+,99.77,99.8,3.0000000000001137,99.785,99.94,99.62,99.97,99.8,99.77,99.77,99.77,99.8,99.8,99.77,Avg,1312988.9,53,1316,8,2022-10-31,8.5380167643891,8.5380167643891,8.4989585673357,8.4989585673357,8.4989585673357,11.4,301.44312100162,0.76090533898437,,,,,,,,,59.193463500899,,
6,2021-12-22,Moscow Exchange T+,99.76,99.83,6.999999999999318,99.795,100.0,99.63,100.0,99.84,99.9,99.9,99.9,99.84,99.84,99.9,Avg,1136881.7,46,1138,8,2022-10-31,8.3686330611304,8.5501597622618,8.4593262293529,8.4463614760867,8.4463614760867,11.18,302.45227790892,0.76464596297457,,,,,,,,,42.827929322995,,
7,2021-12-21,Moscow Exchange T+,99.55,99.6,4.999999999999716,99.575,99.71,99.5,99.89,99.6,99.71,99.71,99.71,99.6,99.6,99.71,Avg,1604380.8,49,1609,8,2022-10-31,8.6140562709265,8.8217909373837,8.7567949173164,8.7567949173164,8.7567949173164,10.96,303.43901220826,0.76540715632697,,,,,,,,,54.468903566096,,
8,2021-12-20,Moscow Exchange T+,99.5,99.69,18.999999999999773,99.595,99.06,99.04,99.71,99.7,99.42,99.42,99.42,99.7,99.7,99.42,Avg,11103051.9,119,11168,8,2022-10-31,8.9888978284432,8.8849609733945,8.6388457174878,8.6259208431429,8.6259208431429,10.74,304.41877493917,0.76523761368983,,,,,,,,,87.548086246,,
9,2021-12-17,Moscow Exchange T+,99.28,99.51,23.0000000000004,99.395,99.46,99.16,99.52,99.3,99.29,99.29,99.29,99.3,99.3,99.29,Avg,3366890.1,79,3391,8,2022-10-31,9.1500998154201,9.1630225514336,8.8665183485064,9.1371799266216,9.1371799266216,10.08,307.41008064156,0.77161578454093,,,,,,,,,93.621083807913,,
